"original_taxa","original_ID","database_ID","simplified_taxa","accepted_taxa","in_WFO","match","accepted_wfo"
"Amaranthus powelii","vinedivers7","AT_VINEDIVERS","Amaranthus powelii","Amaranthus powellii","Accepted","Fuzzy","Amaranthus powellii"
"Anagallis arvensis","vinedivers10","AT_VINEDIVERS","Anagallis arvensis","Lysimachia arvensis","Accepted","Synonym","Lysimachia arvensis"
"Anagallis foemina","vinedivers11","AT_VINEDIVERS","Anagallis foemina","Lysimachia foemina","Accepted","Synonym","Lysimachia foemina"
"Anthemis austriaca","vinedivers13","AT_VINEDIVERS","Anthemis austriaca","Cota austriaca","Accepted","Synonym","Cota austriaca"
"Agrimonia agrimonoides","vinedivers17","AT_VINEDIVERS","Agrimonia agrimonoides","Aremonia agrimonoides","Accepted","Synonym","Aremonia agrimonoides"
"Brassica nigra","vinedivers30","AT_VINEDIVERS","Brassica nigra","Mutarda nigra","Accepted","Synonym","Mutarda nigra"
"Cardaria draba","vinedivers45","AT_VINEDIVERS","Cardaria draba","Lepidium draba","Accepted","Synonym","Lepidium draba"
"Centranthus calcitrapae","vinedivers50","AT_VINEDIVERS","Centranthus calcitrapae","Valeriana calcitrapae","Accepted","Synonym","Valeriana calcitrapae"
"Cerastium holosteoides","vinedivers55","AT_VINEDIVERS","Cerastium holosteoides","Cerastium fontanum vulgare","Accepted","Synonym","Cerastium fontanum subsp. vulgare"
"Consolida regalis","vinedivers64","AT_VINEDIVERS","Consolida regalis","Delphinium consolida","Accepted","Synonym","Delphinium consolida"
"Conyza canadensis","vinedivers66","AT_VINEDIVERS","Conyza canadensis","Erigeron canadensis","Accepted","Synonym","Erigeron canadensis"
"Cornonilla varia","vinedivers67","AT_VINEDIVERS","Cornonilla varia","Coronilla varia","Accepted","Fuzzy","Coronilla varia"
"Erophila verna","vinedivers90","AT_VINEDIVERS","Erophila verna","Draba verna","Accepted","Synonym","Draba verna"
"Festuca arundinacea","vinedivers99","AT_VINEDIVERS","Festuca arundinacea","Lolium arundinaceum","Accepted","Synonym","Lolium arundinaceum"
"Festuca pratensis","vinedivers100","AT_VINEDIVERS","Festuca pratensis","Lolium pratense","Accepted","Synonym","Lolium pratense"
"Filago vulgaris","vinedivers106","AT_VINEDIVERS","Filago vulgaris","Filago germanica","Accepted","Synonym","Filago germanica"
"Hieracium pilosella","vinedivers129","AT_VINEDIVERS","Hieracium pilosella","Pilosella officinarum","Accepted","Synonym","Pilosella officinarum"
"Leontodon autumnalis","vinedivers149","AT_VINEDIVERS","Leontodon autumnalis","Scorzoneroides autumnalis","Accepted","Synonym","Scorzoneroides autumnalis"
"Oreganum vulgare","vinedivers177","AT_VINEDIVERS","Oreganum vulgare","Origanum vulgare","Accepted","Fuzzy","Origanum vulgare"
"Picris echioides","vinedivers185","AT_VINEDIVERS","Picris echioides","Helminthotheca echioides","Accepted","Synonym","Helminthotheca echioides"
"Polygonum persicaria","vinedivers196","AT_VINEDIVERS","Polygonum persicaria","Persicaria maculosa","Accepted","Synonym","Persicaria maculosa"
"Sheradia arvensis","vinedivers227","AT_VINEDIVERS","Sheradia arvensis","Sherardia arvensis","Accepted","Fuzzy","Sherardia arvensis"
"Silene alba","vinedivers228","AT_VINEDIVERS","Silene alba","Silene latifolia alba","Accepted","Synonym","Silene latifolia alba"
