"","original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"1","Achillea odorata","Verbesina montevidensis","wfo-0000078016","species","Spreng.","Asteraceae","Verbesina","Accepted","DUPLICATED SYNONYMS"
"2","Achillea odorata","Aspilia silphioides","wfo-0000040535","species","Benth. & Hook.f.","Asteraceae","Aspilia","Accepted","DUPLICATED SYNONYMS"
"3","Achillea odorata","Achillea nobilis","wfo-0000092435","species","L.","Asteraceae","Achillea","Accepted","DUPLICATED SYNONYMS"
"4","Alchemilla acutiloba","Alchemilla mollis","wfo-0001018841","species","(Buser) Rothm.","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"5","Alchemilla acutiloba","Alchemilla micans","wfo-0001015829","species","Buser","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"6","Alchemilla acutiloba","Alchemilla vulgaris","wfo-0001007689","species","L.","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"7","Alchemilla acutiloba","Alchemilla vulgaris","wfo-0001007689","species","L.","Rosaceae","Alchemilla","Accepted","DUPLICATED SYNONYMS"
"8","Allium pallens","Allium paniculatum subsp. pallens","wfo-0000756944","subspecies","(L.) K.Richt.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"9","Allium pallens","Allium flavum","wfo-0000756255","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"10","Allium porrum","Allium ampeloprasum","wfo-0000755607","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"11","Allium porrum","Allium obliquum","wfo-0000756848","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"12","Allium porrum porrum","Allium ampeloprasum","wfo-0000755607","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"13","Allium porrum porrum","Allium obliquum","wfo-0000756848","species","L.","Amaryllidaceae","Allium","Accepted","DUPLICATED SYNONYMS"
"14","Althaea hirsuta","Malva setigera","wfo-0000449618","species","K.F.Schimp. & Spenn.","Malvaceae","Malva","Accepted","DUPLICATED SYNONYMS"
"15","Althaea hirsuta","Malva cretica subsp. cretica","wfo-1200097936","subspecies","","Malvaceae","Malva","Accepted","DUPLICATED SYNONYMS"
"16","Anagallis arvensis foemina","Lysimachia arvensis","wfo-0000744184","species","(L.) U.Manns & Anderb.","Primulaceae","Lysimachia","Accepted","DUPLICATED SYNONYMS"
"17","Anagallis arvensis foemina","Lysimachia foemina","wfo-0000744194","species","(Mill.) U.Manns & Anderb.","Primulaceae","Lysimachia","Accepted","DUPLICATED SYNONYMS"
"18","Anemone nemorosa","Anemonoides nemorosa","wfo-0000535989","species","(L.) Holub","Ranunculaceae","Anemonoides","Accepted","DUPLICATED SYNONYMS"
"19","Anemone nemorosa","Anemone altaica","wfo-0000535069","species","Fisch. ex Ledeb.","Ranunculaceae","Anemone","Accepted","DUPLICATED SYNONYMS"
"20","Brassica napus oleifera","Brassica napus","wfo-0000571271","species","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"21","Brassica napus oleifera","Brassica napus subsp. napus","wfo-0001264538","subspecies","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"22","Brassica napus oleifera","Brassica napus","wfo-0000571271","species","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"23","Brassica napus oleifera","Brassica napus subsp. napus","wfo-0001264538","subspecies","L.","Brassicaceae","Brassica","Accepted","DUPLICATED SYNONYMS"
"24","Bromus diandrus diandrus","Bromus diandrus","wfo-0000855460","species","Roth","Poaceae","Bromus","Accepted","DUPLICATED SYNONYMS"
"25","Bromus diandrus diandrus","Bromus madritensis","wfo-0000855936","species","L.","Poaceae","Bromus","Accepted","DUPLICATED SYNONYMS"
