original_taxa,accepted_wfo,wfo_taxonID,wfo_rank,wfo_authorship,wfo_family,wfo_genus,wfo_status,wfo_match,verified
Abutilon teophrasti,Abutilon theophrasti,wfo-0000512325,species,Medik.,Malvaceae,Abutilon,Accepted,FUZZY,0
Ailanthus altissimus,Ailanthus altissima,wfo-0000524599,species,(Mill.) Swingle,Simaroubaceae,Ailanthus,Accepted,FUZZY,0
Allium porrum porrum,Allium ampeloprasum,wfo-0000755607,species,L.,Amaryllidaceae,Allium,Accepted,FUZZY,0
Amaranthus powelii,Amaranthus powellii,wfo-0000530428,species,S.Watson,Amaranthaceae,Amaranthus,Accepted,FUZZY,1
Anagallis arvensis caerulea,Lysimachia loeflingii,wfo-1000030378,species,F.J.Jiménez & M.Talavera,Primulaceae,Lysimachia,Accepted,FUZZY,0
Anagallis arvensis foemina,Lysimachia arvensis,wfo-0000744184,species,(L.) U.Manns & Anderb.,Primulaceae,Lysimachia,Accepted,FUZZY,0
Arthonia arthonioides,Tolpis lagopoda,wfo-0000085910,species,C.Sm. ex Link,Asteraceae,Tolpis,Accepted,FUZZY,0
Bidens bipinnatus,Bidens bipinnata,wfo-0000028784,species,L.,Asteraceae,Bidens,Accepted,FUZZY,0
Bidens tripartitus,Bidens tripartita,wfo-0000068428,species,L.,Asteraceae,Bidens,Accepted,FUZZY,1
Brassicaeae,Brassiceae,wfo-4100004711,tribe,DC.,Brassicaceae,,Accepted,FUZZY,0
Bromus squarossus,Bromus squarrosus,wfo-0000856539,species,L.,Poaceae,Bromus,Accepted,FUZZY,1
Bryonia dioica dioica,Bryonia alba,wfo-0000572927,species,L.,Cucurbitaceae,Bryonia,Accepted,FUZZY,0
Buniun bulbocastanum,Bunium bulbocastanum,wfo-0000574803,species,L.,Apiaceae,Bunium,Accepted,FUZZY,0
Capsella bursa pastoris,Capsella bursa-pastoris,wfo-0000585589,species,Medik.,Brassicaceae,Capsella,Accepted,FUZZY,0
Cardaminopsis arenosa arenosa,Arabidopsis arenosa subsp. arenosa,wfo-0001285545,subspecies,Lawalrée,Brassicaceae,Arabidopsis,Accepted,FUZZY,0
Centranthus calcitrapa,Valeriana calcitrapae,wfo-0000425385,species,L.,Caprifoliaceae,Valeriana,Accepted,FUZZY,0
Chaenomeles x superba,Chaenomeles × superba,wfo-0000990806,species,(Frahm) Rehder,Rosaceae,Chaenomeles,Accepted,FUZZY,0
Chaenorrhinum minus,Chaenorhinum minus,wfo-0000598753,species,(L.) Lange,Plantaginaceae,Chaenorhinum,Accepted,FUZZY,1
Chaenorrhinum minus minus,Chaenorhinum minus,wfo-0000598753,species,(L.) Lange,Plantaginaceae,Chaenorhinum,Accepted,FUZZY,0
Chepodium polyspermum,Lipandra polysperma,wfo-0001302716,species,"(L.) S.Fuentes, Uotila & Borsch",Chenopodiaceae,Lipandra,Accepted,FUZZY,0
