original_taxa,accepted_wfo,GF,Match,Remark
Abutilon teophrasti,Abutilon theophrasti,ok,Fuzzy,
Achillea odorata,Verbesina montevidensis,,Synonym,"Verbesina montevidensis, Aspilia silphioides, or Achillea nobilis?"
Ailanthus altissimus,Ailanthus altissima,ok,Fuzzy,
Alchemilla acutiloba,Alchemilla vulgaris,,Synonym,or Alchemilla micans or Alchemilla mollis?
Allium pallens,Allium flavum,,Synonym,or Allium paniculatum subsp. pallens ?
Allium porrum,Allium porrum,ok,Exact,not in WFO
Allium porrum porrum,Allium porrum,ok,Synonym,not in WFO
Althaea hirsuta,Malva setigera,ok,Synonym,
Amaranthus powelii,Amaranthus powellii,ok,Fuzzy,
Anagallis arvensis foemina,Lysimachia foemina,ok,Synonym,
Anemone nemorosa,Anemonoides nemorosa,,Synonym,
Bidens bipinnatus,Bidens bipinnata,ok,Fuzzy,
Bidens tripartitus,Bidens tripartita,ok,Fuzzy,
Brassica napus oleifera,Brassica napus,,Binomial,or Brassica napus subsp. napus?
Brassicaeae,Brassicaceae,ok,Fuzzy,
Bromus diandrus diandrus,Bromus diandrus,,Binomial,or Bromus madritensis?
Bromus squarossus,Bromus squarrosus,ok,Fuzzy,
Bryonia dioica dioica,Bryonia cretica dioica,ok,Synonym,
Buniun bulbocastanum,Bunium bulbocastanum,ok,Fuzzy,
Capsella bursa pastoris,Capsella bursa-pastoris,ok,Fuzzy,
Cardaminopsis arenosa arenosa,Arabidopsis arenosa arenosa,ok,Synonym,
Centranthus calcitrapa,Valeriana calcitrapae,ok,Synonym,
Chaenorrhinum minus,Chaenorhinum minus,ok,Fuzzy,
Chaenorrhinum minus minus,Chaenorhinum minus,ok,Fuzzy,
Chenopodium album x rubrum,Chenopodium album,,Binomial,
Chepodium polyspermum,Lipandra polysperma,ok,Synonym,
Cirsium erisitales,Cirsium erisithales,ok,Fuzzy,
Colchicum autumnalis,Colchicum autumnale,ok,Fuzzy,
Cornonilla varia,Coronilla varia,ok,Fuzzy,
Coronopus,,,Synonym,"Plantago coronopus, Lepidium coronopus, Plantago, or Heliophila?"
Corrigiola littoralis,Corrigiola litoralis,ok,Fuzzy,
