"synonym_taxa","synonym_full_name","accepted_taxa"
"Abortopetalum","Abortopetalum O.Deg.","Abutilon"
"Abutilaea","Abutilaea F.Muell.","Abutilon"
"Abutilothamnus","Abutilothamnus Ulbr.","Abutilon"
"Bastardia","Bastardia Kunth","Abutilon"
"Beloere","Beloere Shuttlew.","Abutilon"
"Abutilon abutilon","Abutilon abutilon (L.) Huth","Abutilon theophrasti"
"Abutilon avicennae","Abutilon avicennae Gaertn.","Abutilon theophrasti"
"Abutilon avicennae genuina","Abutilon avicennae f. genuina Skvortsov","Abutilon theophrasti"
"Abutilon avicennae nigrum","Abutilon avicennae f. nigrum Skvortsov","Abutilon theophrasti"
"Abutilon avicennae parviflorum","Abutilon avicennae f. parviflorum Regel","Abutilon theophrasti"
"Abutilon avicennae tiliifolium","Abutilon avicennae f. tiliifolium (Willd.) Regel","Abutilon theophrasti"
"Abutilon avicennae aureum","Abutilon avicennae var. aureum Berliand","Abutilon theophrasti"
"Abutilon avicennae chinense","Abutilon avicennae var. chinense Skvortsov","Abutilon theophrasti"
"Abutilon avicennae cordatum","Abutilon avicennae var. cordatum Berliand","Abutilon theophrasti"
"Abutilon avicennae rotundifolium","Abutilon avicennae var. rotundifolium Berliand","Abutilon theophrasti"
"Abutilon avicennae violaceum","Abutilon avicennae var. violaceum Berliand","Abutilon theophrasti"
"Abutilon behrianum","Abutilon behrianum F.Muell.","Abutilon theophrasti"
"Abutilon commune","Abutilon commune Oken","Abutilon theophrasti"
"Abutilon pubescens","Abutilon pubescens Moench","Abutilon theophrasti"
"Abutilon theophrasti chinense","Abutilon theophrasti var. chinense (Skvortsov) S.Y.Hu","Abutilon theophrasti"
"Abutilon theophrasti nigrum","Abutilon theophrasti var. nigrum (Skvortsov) S.Y.Hu","Abutilon theophrasti"
"Abutilon tiliifolium","Abutilon tiliifolium (Willd.) Sweet","Abutilon theophrasti"
"Malva abutilon","Malva abutilon (L.) E.H.L.Krause","Abutilon theophrasti"
"Sida abutilifolia","Sida abutilifolia Moench","Abutilon theophrasti"
"Sida abutilon","Sida abutilon L.","Abutilon theophrasti"
"Sida tenax","Sida tenax Salisb.","Abutilon theophrasti"
"Sida tiliifolia","Sida tiliifolia Fisch.","Abutilon theophrasti"
"Side abutila","Side abutila St.-Lag.","Abutilon theophrasti"
"Adianthum","Adianthum Burm.f.","Acacia"
"Chithonanthus","Chithonanthus Lehm.","Acacia"
"Cuparilla","Cuparilla Raf.","Acacia"
"Drepaphyla","Drepaphyla Raf.","Acacia"
"Farnesiana","Farnesiana","Acacia"
"Hecatandra","Hecatandra Raf.","Acacia"
"Nygae","Nygae","Acacia"
"Phyllodoce","Phyllodoce Link","Acacia"
"Popanax","Popanax","Acacia"
"Racosperma","Racosperma Mart.","Acacia"
"Racospermum","Racospermum","Acacia"
"Tetracheilos","Tetracheilos Lehm.","Acacia"
"Zigmaloba","Zigmaloba Raf.","Acacia"
"Acalyphes","Acalyphes Hassk.","Acalypha"
"Acalyphopsis","Acalyphopsis Pax & K.Hoffm.","Acalypha"
"Calyptrospatha","Calyptrospatha Klotzsch ex Baill.","Acalypha"
"Caturus","Caturus L.","Acalypha"
"Corythea","Corythea S.Watson","Acalypha"
"Cupameni","Cupameni Adans.","Acalypha"
"Cupamenis","Cupamenis Raf.","Acalypha"
"Gymnalypha","Gymnalypha Griseb.","Acalypha"
"Linostachys","Linostachys Klotzsch ex Schltdl.","Acalypha"
"Mercuriastrum","Mercuriastrum Heist. ex Fabr.","Acalypha"
"Odonteilema","Odonteilema Turcz.","Acalypha"
"Paracelsea","Paracelsea Zoll.","Acalypha"
"Ricinocarpus","Ricinocarpus Burm. ex Kuntze","Acalypha"
"Schizogyne","Schizogyne Ehrenb. ex Pax","Acalypha"
"Usteria","Usteria Dennst.","Acalypha"
"Acalypha brevipes","Acalypha brevipes Raf.","Acalypha virginica"
"Acalypha caroliniana","Acalypha caroliniana Walter","Acalypha virginica"
"Acalypha crenulata","Acalypha crenulata Raf.","Acalypha virginica"
"Acalypha digyneia","Acalypha digyneia Raf.","Acalypha virginica"
"Acalypha echinata","Acalypha echinata Raf.","Acalypha virginica"
"Acalypha urticifolia","Acalypha urticifolia Raf.","Acalypha virginica"
"Acalypha virginea","Acalypha virginea Dragend.","Acalypha virginica"
"Acalypha virginica intermedia","Acalypha virginica f. intermedia Millsp.","Acalypha virginica"
"Acalypha virginica purpurea","Acalypha virginica f. purpurea Farw.","Acalypha virginica"
"Acalypha virginica angustifolia","Acalypha virginica var. angustifolia Torr.","Acalypha virginica"
