"original_taxa","accepted_taxref","taxref_key","taxref_rank","taxref_full_name","taxref_class","taxref_order","taxref_family","taxref_status","G1_INPN","G2_INPN","G3_INPN","habitat","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_taxa","full_name","accepted_rank","in_AT_VIN_SECBIVIT","in_AT_VINEDIVERS","in_BE_ANN_EXPLORE","in_DE_VIN_SECBIVIT","in_EU_HMETCALF","in_FR_ABY","in_FR_ALL_500_ENI","in_FR_ALL_LANGUEDOC","in_FR_ANN_37","in_FR_ANN_45","in_FR_ANN_BARR","in_FR_ANN_BIOVIGILANCE","in_FR_ANN_BOURGOGNE","in_FR_ANN_CASDAR","in_FR_ANN_DEEPIMPACT","in_FR_ANN_FENAY_GFPHD","in_FR_ANN_MP","in_FR_CASYS","in_FR_CBN","in_FR_OLI_GENTY","in_FR_SECBIVIT","in_FR_SUN_ENIVTH","in_FR_VIN_ALPES","in_FR_VIN_BIOVIGILANCE","in_FR_VIN_FLAVI","in_FR_VIN_GIGNAC","in_FR_VIN_HERAULT","in_FR_VIN_SAVM","in_FR_VINE_BDX","in_FR_VINE_CA33","in_RO_VIN_SECBIVIT","in_UK_ANN_Boundary_Margin_Verge"
"Abies","Abies",188665,"GN","Abies Mill., 1754","Equisetopsida","Pinales","Pinaceae","EXACT_ACCEPTED","Trachéophytes","Gymnospermes","Autres",3,"Abies",2684876,"GENUS","Abies Mill.","Tracheophyta","Pinales","Pinaceae","HIGHERRANK_ACCEPTED","Abies","Abies Mill., 1754","GENUS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abutilon","Abutilon",188678,"GN","Abutilon Mill., 1754","Equisetopsida","Malvales","Malvaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Abutilon",3152599,"GENUS","Abutilon Tourn. ex Mill.","Tracheophyta","Malvales","Malvaceae","HIGHERRANK_ACCEPTED","Abutilon","Abutilon Mill., 1754","GENUS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abutilon theophrasti","Abutilon theophrasti",79684,"ES","Abutilon theophrasti Medik., 1787","Equisetopsida","Malvales","Malvaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Abutilon theophrasti",3152614,"SPECIES","Abutilon theophrasti Medik.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","Abutilon theophrasti","Abutilon theophrasti Medik., 1787","SPECIES",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acacia","Acacia",188680,"GN","Acacia Mill., 1754","Equisetopsida","Fabales","Fabaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acacia",2978223,"GENUS","Acacia Mill.","Tracheophyta","Fabales","Fabaceae","HIGHERRANK_ACCEPTED","Acacia","Acacia Mill., 1754","GENUS",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acalypha","Acalypha",188683,"GN","Acalypha L., 1753","Equisetopsida","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acalypha",3055964,"GENUS","Acalypha L.","Tracheophyta","Malpighiales","Euphorbiaceae","HIGHERRANK_ACCEPTED","Acalypha","Acalypha L., 1753","GENUS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,"NOT FOUND",NA,NA,NA,NA,"Acalypha ostryifolia",8159460,"SPECIES","Acalypha ostryifolia Riddell","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","Acalypha ostryifolia","Acalypha ostryifolia Riddell","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acalypha virginica","Acalypha virginica",79713,"ES","Acalypha virginica L., 1753","Equisetopsida","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acalypha virginica",3056055,"SPECIES","Acalypha virginica L.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","Acalypha virginica","Acalypha virginica L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer","Acer",188731,"GN","Acer L., 1753","Equisetopsida","Sapindales","Sapindaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acer",3189834,"GENUS","Acer L.","Tracheophyta","Sapindales","Sapindaceae","HIGHERRANK_ACCEPTED","Acer","Acer L., 1753","GENUS",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"Acer campestre","Acer campestre",79734,"ES","Acer campestre L., 1753","Equisetopsida","Sapindales","Sapindaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acer campestre",3189863,"SPECIES","Acer campestre L.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","Acer campestre","Acer campestre L., 1753","SPECIES",0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"Acer negundo","Acer negundo",79766,"ES","Acer negundo L., 1753","Equisetopsida","Sapindales","Sapindaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acer negundo",3189866,"SPECIES","Acer negundo L.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","Acer negundo","Acer negundo L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer platanoides","Acer platanoides",79779,"ES","Acer platanoides L., 1753","Equisetopsida","Sapindales","Sapindaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acer platanoides",3189846,"SPECIES","Acer platanoides L.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","Acer platanoides","Acer platanoides L., 1753","SPECIES",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer pseudoplatanus","Acer pseudoplatanus",79783,"ES","Acer pseudoplatanus L., 1753","Equisetopsida","Sapindales","Sapindaceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Acer pseudoplatanus",3189870,"SPECIES","Acer pseudoplatanus L.","Tracheophyta","Sapindales","Sapindaceae","EXACT_ACCEPTED","Acer pseudoplatanus","Acer pseudoplatanus L., 1753","SPECIES",0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Achillea","Achillea",188746,"GN","Achillea L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Achillea",3119995,"GENUS","Achillea L.","Tracheophyta","Asterales","Asteraceae","HIGHERRANK_ACCEPTED","Achillea","Achillea L., 1753","GENUS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea collina","Achillea collina",896277,"ES","Achillea collina (Becker ex Wirtg.) Heimerl, 1883","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Achillea collina",7767460,"SPECIES","Achillea collina (Wirtg.) Becker ex Heimerl","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Achillea collina","Achillea collina (Becker ex Wirtg.) Heimerl, 1883","SPECIES",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea ligustica","Achillea ligustica",79903,"ES","Achillea ligustica All., 1773","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Achillea ligustica",3120032,"SPECIES","Achillea ligustica All.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Achillea ligustica","Achillea ligustica All., 1773","SPECIES",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achillea millefolium","Achillea millefolium",79908,"ES","Achillea millefolium L., 1753","Equisetopsida","Asterales","Asteraceae","EXACT_ACCEPTED","Trachéophytes","Angiospermes","Autres",3,"Achillea millefolium",3120060,"SPECIES","Achillea millefolium L.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","Achillea millefolium","Achillea millefolium L., 1753","SPECIES",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
