"accepted_taxa","full_name","wfo_rank"
"Abies","Abies Mill.","genus"
"Abutilon","Abutilon Mill.","genus"
"Abutilon theophrasti","Abutilon theophrasti Medik.","species"
"Acacia","Acacia Mill.","genus"
"Acalypha","Acalypha L.","genus"
"Acalypha persimilis","Acalypha persimilis Müll.Arg.","species"
"Acalypha virginica","Acalypha virginica L.","species"
"Acer","Acer L.","genus"
"Acer campestre","Acer campestre L.","species"
"Acer negundo","Acer negundo L.","species"
"Acer platanoides","Acer platanoides L.","species"
"Acer pseudoplatanus","Acer pseudoplatanus L.","species"
"Acer rubrum","Acer rubrum L.","species"
"Achillea","Achillea L.","genus"
"Achillea collina","Achillea collina (Becker ex Rchb.f.) Heimerl","species"
"Achillea ligustica","Achillea ligustica All.","species"
"Achillea millefolium","Achillea millefolium L.","species"
"Achillea nobilis","Achillea nobilis L.","species"
"Achillea ptarmica","Achillea ptarmica L.","species"
"Achnatherum calamagrostis","Achnatherum calamagrostis (L.) P.Beauv.","species"
"Adonis","Adonis L.","genus"
"Adonis aestivalis","Adonis aestivalis L.","species"
"Adonis annua","Adonis annua L.","species"
"Adonis flammea","Adonis flammea Jacq.","species"
"Adoxa moschatellina","Adoxa moschatellina L.","species"
"Aegilops","Aegilops L.","genus"
"Aegilops biuncialis","Aegilops biuncialis Vis.","species"
"Aegilops cylindrica","Aegilops cylindrica Host","species"
"Aegilops geniculata","Aegilops geniculata Roth","species"
"Aegilops neglecta","Aegilops neglecta Req. ex Bertol.","species"
"Aegilops triuncialis","Aegilops triuncialis L.","species"
"Aegonychon purpurocaeruleum","Aegonychon purpurocaeruleum (L.) Holub","species"
"Aegopodium podagraria","Aegopodium podagraria L.","species"
"Aesculus hippocastanum","Aesculus hippocastanum L.","species"
"Aethusa","Aethusa L.","genus"
"Aethusa cynapium","Aethusa cynapium L.","species"
"Aethusa cynapium segetalis","Aethusa cynapium subsp. segetalis (Boenn.) Schübl. & G.Martens","subspecies"
"Agrimonia","Agrimonia L.","genus"
"Agrimonia eupatoria","Agrimonia eupatoria L.","species"
"Agropyron","Agropyron Gaertn.","genus"
"Agrostemma githago","Agrostemma githago L.","species"
"Agrostis","Agrostis L.","genus"
"Agrostis canina","Agrostis canina L.","species"
"Agrostis capillaris","Agrostis capillaris L.","species"
"Agrostis gigantea","Agrostis gigantea Roth","species"
"Agrostis stolonifera","Agrostis stolonifera L.","species"
"Ailanthus altissima","Ailanthus altissima (Mill.) Swingle","species"
"Aira caryophyllea","Aira caryophyllea L.","species"
"Aira cupaniana","Aira cupaniana Guss.","species"
"Ajuga chamaepitys","Ajuga chamaepitys (L.) Schreb.","species"
"Ajuga genevensis","Ajuga genevensis L.","species"
"Ajuga iva","Ajuga iva (L.) Schreb.","species"
"Ajuga reptans","Ajuga reptans L.","species"
"Alcea rosea","Alcea rosea L.","species"
"Alchemilla","Alchemilla L.","genus"
