original_taxa,accepted_taxref,verified
Ailanthus altissimus,Ailanthus altissima,FALSE
Amaranthus powelii,Amaranthus powellii,TRUE
Bidens tripartitus,Bidens tripartita,TRUE
Brassicaeae,Brassicaceae,FALSE
Bromus squarossus,Bromus squarrosus,TRUE
Buniun bulbocastanum,Bunium bulbocastanum,FALSE
Capsella bursa pastoris,Capsella bursa-pastoris,FALSE
Centaurea jacea grandiflora x jacea jacea,Centaurea thuillieri,FALSE
Centaurea jacea grandiflora x jacea nigra,Centaurea thuillieri,FALSE
Centranthus calcitrapa,Centranthus calcitrapae,TRUE
Chaenorrhinum minus,Chaenorhinum minus,TRUE
Chaenorrhinum minus minus,Chaenorhinum minus minus,TRUE
Chenopodium album x rubrum,Chenopodium album,FALSE
Chepodium polyspermum,Chenopodium polyspermum,FALSE
Cirsium erisitales,Cirsium erisithales,TRUE
Colchicum autumnalis,Colchicum autumnale,FALSE
Cornonilla varia,Coronilla varia,TRUE
Crategus monogyna,Crataegus monogyna,TRUE
Crepis bienis,Crepis biennis,TRUE
Cruciata laevipes opiz,Cruciata laevipes,TRUE
Cynoglosum officinale,Cynoglossum officinale,TRUE
Cyperus egagrostis,Cyperus eragrostis,FALSE
Dactylis glomerata glomerata x glomerata lobata,Dactylis glomerata glomerata,FALSE
Daucus carotta,Daucus carota,FALSE
Dipsacum fullonum,Dipsacus fullonum,FALSE
Doricnium pethapillum,Dorycnium pentaphyllum,TRUE
Echinochloa crus galli,Echinochloa crus-galli,FALSE
Elytrigia campestre,Elytrigia campestris,FALSE
Epibolium angustifolium,Epilobium angustifolium,TRUE
Erigeron glabellus,Erigeron glabratus,TRUE
Festuca arundinacea arundinacea x multiflorum,Schedonorus arundinaceus subsp. arundinaceus ,FALSE
Galactites tomentosa,Galactites tomentosus,TRUE
Geleopsis tetrahit,Galeopsis tetrahit,FALSE
Geranium pheum,Geranium phaeum,TRUE
Geranuim molle,Geranium molle,FALSE
Glyzirrhyza glabra,Glycyrrhiza glabra,FALSE
Hdrocotyle sibthorpioides,Hydrocotyle sibthorpioides,FALSE
Helictochloa romero,Helictochloa,FALSE
Hymenocarpos circinnata nummularius,Hymenocarpos circinnatus nummularius,TRUE
Hypericum linarifolium,Hypericum linariifolium,TRUE
Juncus effusum,Juncus effusus,TRUE
Knautia integrifola,Knautia integrifolia,TRUE
Knautia timeroyii,Knautia timeroyi,FALSE
Lactuca murralis,Lactuca muralis,FALSE
Lathyris tuberosus,Lathyrus tuberosus,FALSE
Lathyrus sativa,Lathyrus sativus,TRUE
Lencanthemum vulgare,Leucanthemum vulgare,FALSE
Linaria latifolia,Licania latifolia,TRUE
Loncomelos narbonensis,Loncomelos narbonense,TRUE
Loncomelos pyrenaicus,Loncomelos pyrenaicum,TRUE
Matricaria maritima maritima x inodorum,Tripleurospermum maritimum x inodorum,FALSE
Melilotus alba,Melilotus albus,TRUE
Odontites verna,Odontites vernus,TRUE
Onopordon,Onopordum,TRUE
Oreganum vulgare,Origanum vulgare,TRUE
Ornithogalum boucheanum,Ornithogalum bourgaeanum,TRUE
Paspalum dilatum,Paspalum dilatatum,TRUE
Petrorhargia prolifera,Petrorhagia prolifera,TRUE
Phytolacca dodecandra,Phytolacca decandra,TRUE
Picris angustifolia,Iris angustifolia,TRUE
Podospermum picroides,Urospermum picroides,FALSE
Populus canescens,Populus x canescens,TRUE
Portulaca oleraceae,Portulaca oleracea,TRUE
Rorippa armoracioides,Rorippa x armoracioides,TRUE
Rubus idenus,Rubus idaeus,TRUE
Rumex thyrsiflorus,Rumex thyrsiflorus,TRUE
Scandix pecten veneris,Scandix pecten-veneris,FALSE
Schoedonorus arundinaceus,Schedonorus arundinaceus,FALSE
Schoedonorus pratensis,Schedonorus pratensis,FALSE
Scirpus silvaticus,Scirpus sylvaticus,TRUE
Senecio jacobea,Senecio jacobaea,TRUE
Sheradia arvensis,Sherardia arvensis,TRUE
Silena gallica,Silene gallica,FALSE
Silene niceensis,Silene nicaeensis,TRUE
Sonchus arvenses,Sonchus arvensis,FALSE
Sporobulus,Sporobolus,TRUE
Sylibum marianum,Silybum marianum,FALSE
Sysimbrium irio,Sisymbrium irio,FALSE
Taraxacum fhwigg,Taraxacum,FALSE
Thlapsi arvense,Thlaspi arvense,TRUE
Trifolium campestris,Trifolium campestre,TRUE
Triticosecale,x Triticosecale,TRUE
Triticosecale rimpaui,x Triticosecale rimpaui,TRUE
Tyrmnus leucographus,Tyrimnus leucographus,TRUE
Urtica dioïca,Urtica dioica,TRUE
Veronica anagallis acuatica,Veronica anagallis-aquatica,FALSE
Vicia ciliata,Vicia ciliatula,FALSE
Vicia fabia,Vicia faba,TRUE
Vicia nigra,Vicia sativa nigra,FALSE
Viola kaitaibeliana,Viola kitaibeliana,TRUE
Viola reichenbachiana,Viola reichenbachiana,TRUE
x Rimpaui,x Triticosecale rimpaui,FALSE
