"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon","Abutilon theophrasti",1.52422,1.96295,0.82031,0.80625,0.16875,0.84443,0.76562,"Abutilon theophrasti",7.5,5.2,NA,6.6,0.4,NA,"Abutilon theophrasti","2","Local non-specific dispersal",1.20125,9.807
"Abutilon theophrasti","Abutilon theophrasti",1.52422,1.96295,0.82031,0.80625,0.16875,0.84443,0.76562,"Abutilon theophrasti",7.5,5.2,NA,6.6,0.4,NA,"Abutilon theophrasti","2","Local non-specific dispersal",1.20125,9.807
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","3","Myrmecochory",0.21,0.63
"Acalypha persimilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","3","Myrmecochory",0.21,0.63
"Acer","Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus",0.1448425,1.3744675,0.699885,0.22538,0.186935,0.0548375,0.141845,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus",5.325,5.9,6.275,6.6,0.05,6.1,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus","4","Anemochory",20.9889696712018,84.3743624180506
"Acer campestre","Acer campestre",0.03984,1.31841,0.6918,0.13881,0.19643,0.01173,0.10363,"Acer campestre",5.7,NA,5.4,7.3,0,NA,"Acer campestre","4","Anemochory",15.0944897959184,73.6094274509803
"Acer negundo","Acer negundo",0.42278,1.52809,0.72226,0.44267,0.18109,0.17333,0.23847,"Acer negundo",6.2,6.2,6.8,6.8,0.2,6.4,"Acer negundo","4","Anemochory",14.7066666666667,35.3438888888889
"Acer platanoides","Acer platanoides",0.04615,1.3308,0.69843,0.15019,0.18685,0.01233,0.11235,"Acer platanoides",4.7,5.6,6.3,6.5,0,5.8,"Acer platanoides","4","Anemochory",23.9983333333333,122.626
"Acer pseudoplatanus","Acer pseudoplatanus",0.0706,1.32057,0.68705,0.16985,0.18337,0.02196,0.11293,"Acer pseudoplatanus",4.7,NA,6.6,5.8,0,NA,"Acer pseudoplatanus","4","Anemochory",30.1563888888889,105.918133332333
"Acer rubrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea","Achillea ligustica_Achillea nobilis_Achillea ptarmica_Achillea setacea",1.043225,1.7358575,0.5646525,0.442645,0.2891375,0.5849925,0.1939225,"Achillea ligustica_Achillea nobilis_Achillea ptarmica_Achillea setacea",7.875,4.425,2.525,6.225,0.2,6.975,"Achillea collina_Achillea ligustica_Achillea millefolium_Achillea nobilis_Achillea ptarmica","2","Local non-specific dispersal",0.55297,0.201802688888888
"Achillea collina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Achillea collina","2","Local non-specific dispersal",0.527,0.142066666666666
"Achillea ligustica","Achillea ligustica",0.20679,1.37224,0.66965,0.27769,0.25285,0.09174,0.14708,"Achillea ligustica",7.5,4,4.5,5.7,0,9,"Achillea ligustica","2","Local non-specific dispersal",0.58,0.2908
"Achillea millefolium","Achillea setacea",1.32183,1.90066,0.53765,0.50655,0.33236,0.65082,0.21032,"Achillea setacea",8.5,2.5,1.3,7,0.8,6.8,"Achillea millefolium","2","Local non-specific dispersal",0.4591,0.164496777777777
"Achillea millefolium ceretanica","Achillea setacea",1.32183,1.90066,0.53765,0.50655,0.33236,0.65082,0.21032,"Achillea setacea",8.5,2.5,1.3,7,0.8,6.8,"Achillea millefolium","2","Local non-specific dispersal",0.4591,0.164496777777777
"Achillea nobilis","Achillea nobilis",1.04194,1.78688,0.53747,0.48291,0.3314,0.55372,0.19983,"Achillea nobilis",8,3.7,1.3,8,0,6.9,"Achillea nobilis","2","Local non-specific dispersal",0.405,0.115266666666666
"Achillea nobilis nobilis","Achillea nobilis",1.04194,1.78688,0.53747,0.48291,0.3314,0.55372,0.19983,"Achillea nobilis",8,3.7,1.3,8,0,6.9,"Achillea nobilis","2","Local non-specific dispersal",0.405,0.115266666666666
"Achillea ptarmica","Achillea ptarmica",1.60234,1.88365,0.51384,0.50343,0.23994,1.04369,0.21846,"Achillea ptarmica",7.5,7.5,3,4.2,0,5.2,"Achillea ptarmica","2","Local non-specific dispersal",0.79375,0.296383333333333
"Achnatherum calamagrostis","Achnatherum calamagrostis",0.32875,1.3604,0.5828,0.26021,0.23865,0.09489,0.15497,"Achnatherum calamagrostis",9,3,2,8.3,0,6,"Achnatherum calamagrostis","2","Local non-specific dispersal",0.675,0.395
