"accepted_taxa","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor"
"Abies",NA,NA,NA,NA,NA,NA,NA
"Abutilon","Abutilon theophrasti","Eurasiatique","Jaune","Épizoochore","6-7","Racème de cymes bipares","Entomogame"
"Abutilon theophrasti","Abutilon theophrasti","Eurasiatique","Jaune","Épizoochore","6-7","Racème de cymes bipares","Entomogame"
"Acacia",NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA
"Acalypha persimilis",NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA,NA
"Acer","Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus_Acer rubrum","Eurasiatique méridional_Européen_Introduit (amér. du nord)","Jaune_Vert","Anémochore","4-5_5","Corymbe_Racème de cymes unipares scorpioïdes","Anémogame"
"Acer campestre","Acer campestre","Eurasiatique méridional","Vert","Anémochore","5","Corymbe","Anémogame"
"Acer negundo","Acer negundo","Introduit (amér. du nord)","Jaune","Anémochore","","Racème de cymes unipares scorpioïdes","Anémogame"
"Acer platanoides","Acer platanoides","Européen","Jaune","Anémochore","4-5","Corymbe","Anémogame"
"Acer pseudoplatanus","Acer pseudoplatanus","Européen","Vert","Anémochore","5","Racème de cymes unipares scorpioïdes","Anémogame"
"Acer rubrum","Acer rubrum","Introduit (amér. du nord)","","Anémochore","","","Anémogame"
"Achillea","Achillea collina_Achillea ligustica_Achillea millefolium_Achillea millefolium subsp. ceretanica_Achillea nobilis_Achillea nobilis subsp. nobilis_Achillea ptarmica","Eurasiatique_Eurasiatique méridional_Eurasiatique septentrional_Européen central_Méditerranéen occidental_Orophyte pyrénéen","Blanc","Anémochore","6-9_7-8_7-9","Corymbe de capitules","Entomogame"
"Achillea collina","Achillea collina","Européen central","","Anémochore","","Corymbe de capitules","Entomogame"
"Achillea ligustica","Achillea ligustica","Méditerranéen occidental","Blanc","Anémochore","","Corymbe de capitules","Entomogame"
"Achillea millefolium","Achillea millefolium","Eurasiatique","Blanc","Anémochore","6-9","Corymbe de capitules","Entomogame"
"Achillea millefolium ceretanica","Achillea millefolium subsp. ceretanica","Orophyte pyrénéen","Blanc","Anémochore","6-9","Corymbe de capitules","Entomogame"
"Achillea nobilis","Achillea nobilis","Eurasiatique méridional","Blanc","Anémochore","7-8","Corymbe de capitules","Entomogame"
"Achillea nobilis nobilis","Achillea nobilis subsp. nobilis","Eurasiatique méridional","Blanc","Anémochore","7-8","Corymbe de capitules","Entomogame"
"Achillea ptarmica","Achillea ptarmica","Eurasiatique septentrional","Blanc","Anémochore","7-9","Corymbe de capitules","Entomogame"
"Achnatherum calamagrostis","Achnatherum calamagrostis","Européen méridional","Blanc","Anémochore","5-8","Panicule d'épillets","Anémogame"
"Adonis","Adonis aestivalis_Adonis aestivalis subsp. squarrosa_Adonis annua_Adonis flammea","Eurasiatique_Européen méridional","Rose","Épizoochore","5-7","Cyme unipare hélicoïde","Entomogame"
