"accepted_taxa","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectanceperiphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Germination.range_SPVignes","Germination.start_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon","Abutilon theophrasti","Yellow","Pollen flowers","Pollen flower",4.85,4.48,3.94,5.47,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon theophrasti","Abutilon theophrasti","Yellow","Pollen flowers","Pollen flower",4.85,4.48,3.94,5.47,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha","Acalypha virginica","Red","Flowers with totally hidden nectar","Not applicable",3.437792791,3.163311256,5.111821164,3.547593905,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica","Acalypha virginica","Red","Flowers with totally hidden nectar","Not applicable",3.437792791,3.163311256,5.111821164,3.547593905,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer","Acer campestre_Acer platanoides_Acer pseudoplatanus","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer campestre","Acer campestre","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer negundo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer platanoides","Acer platanoides","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer pseudoplatanus","Acer pseudoplatanus","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea","Achillea millefolium","White","Flowers with totally hidden nectar","Flower heads, asteraceae, ray and disk flowers",5.51,4.78,5.53,6.21,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,"Achillea millefolium","H","Csr","P"
"Achillea collina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
