"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Plant.height_m_BIEN"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon","Abutilon theophrasti","",NA,25,10.898,NA,39.3,"8",9.0119,1.2
"Abutilon theophrasti","Abutilon theophrasti","",NA,25,10.898,NA,39.3,"8",9.0119,1.2
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha","Acalypha virginica","Red",NA,NA,NA,NA,NA,"",0.614,0.6
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica","Acalypha virginica","Red",NA,NA,NA,NA,NA,"",0.614,0.6
"Acer","Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus_Acer rubrum","Green_Red_White",5685.23249714286,17.3853147063326,12.3713909090909,299,21.8073616825397,"4_4_5_6_8_5",83.2529971683366,14.5649098666218
"Acer campestre","Acer campestre","",4741.5,12.8478128282563,15.362,360.5,19.4,"5",110.945321529412,13.1394736842105
"Acer negundo","Acer negundo","White",2658.96,23.5535395946667,9.982,NA,21.9533333333333,"4_5_6_8",32.4766038571429,13.035474885902
"Acer platanoides","Acer platanoides","Green",5748.38,15.3094840467304,13.457,274,23.6420028571429,"4",156.68577025,15.6747082251082
"Acer pseudoplatanus","Acer pseudoplatanus","Green",8365.18,14.6957418110658,11.8935,262.5,27.1,"5",93.3927255384615,16.100989010989
"Acer rubrum","Acer rubrum","Red",6912.14248571429,20.5199952509436,11.1624545454545,NA,16.9414722222222,"",22.7645646666667,14.8739035268994
"Achillea","Achillea collina_Achillea millefolium_Achillea nobilis_Achillea ptarmica","White",1494.45810233441,17.2475936442975,14.7265169666667,197.774506293333,23.5668873666667,"5_6_6_7",0.203097405405405,0.466741247747973
"Achillea collina","Achillea collina","",1037.49,19.338,NA,189.512,NA,"6",NA,0.57
"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium","White",3326.88430700323,15.1051027596197,14.7265169666667,190.81151888,23.5668873666667,"5_6",0.186194810810811,0.121964990991892
"Achillea nobilis","Achillea nobilis","",NA,NA,NA,NA,NA,"6",NA,0.4
"Achillea nobilis subsp. nobilis","Achillea nobilis","",NA,NA,NA,NA,NA,"6",NA,0.4
"Achillea odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ptarmica","Achillea ptarmica","",119,17.2996781732727,NA,213,NA,"7",0.22,0.775
