"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon theophrasti",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer","Acer campestre l._Acer negundo l._Acer platanoides l._Acer pseudoplatanus l.","Exposed",1,103.076,"Fruit segment","Non-fleshy fruit",0.8575,0,0.235
"Acer campestre","Acer campestre l.","Exposed",NA,87.48,"Fruit segment","Non-fleshy fruit",0.82,0,0
"Acer negundo","Acer negundo l.","Exposed",1,37.5,"Fruit segment","Non-fleshy fruit",0.89,NA,NA
"Acer platanoides","Acer platanoides l.","Exposed",1,148.05,"Fruit segment","Non-fleshy fruit",0.86,NA,NA
"Acer pseudoplatanus","Acer pseudoplatanus l.","Exposed",NA,139.274,"Fruit segment","Non-fleshy fruit",0.86,NA,0.47
"Achillea","Achillea collina becker ex rchb._Achillea millefolium agg._Achillea ptarmica agg.","Covered partly",0.5,0.1357285,"Fruit","Non-fleshy fruit",0.786666666666667,0.653333333333333,0.635
"Achillea collina","Achillea collina becker ex rchb.","Covered partly",NA,0.1408,"Fruit","Non-fleshy fruit",0.73,0.61,NA
"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium agg.","Covered partly",0.5,0.130657,"Fruit","Non-fleshy fruit",0.8,0.62,0.54
"Achillea odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ptarmica","Achillea ptarmica agg.","Covered partly",0.5,NA,"Fruit","Non-fleshy fruit",0.83,0.73,0.73
"Achnatherum calamagrostis","Stipa calamagrostis (l.) wahlenb.","Covered partly",NA,0.5,"Fruit","Non-fleshy fruit",0.86,0.88,NA
"Adonis","Adonis aestivalis l._Adonis flammea jacq.","Exposed",NA,12,"Fruit segment","Non-fleshy fruit",0.09,0.57,NA
"Adonis aestivalis","Adonis aestivalis l.","Exposed",NA,12,"Fruit segment","Non-fleshy fruit",0.1,0.5,NA
"Adonis annua",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis flammea","Adonis flammea jacq.","Exposed",NA,NA,"Fruit segment","Non-fleshy fruit",0.08,0.64,NA
"Adoxa moschatellina","Adoxa moschatellina l.","Covered partly",NA,75,"Fruit","Fleshy fruit",NA,0.37,NA
"Aegilops",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops biuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops geniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegonychon purpurocaeruleum","Lithospermum purpurocaeruleum l.","Covered partly",NA,16.32,"Fruit segment","Non-fleshy fruit",0.02,0.11,NA
"Aegopodium podagraria","Aegopodium podagraria l.","Exposed",1.63,2.485,"Fruit segment","Non-fleshy fruit",0.28,0.45,NA
"Aesculus hippocastanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium","Aethusa cynapium l.","Exposed",NA,1.199467,"Fruit segment","Non-fleshy fruit",0.42,0.54,NA
