"accepted_taxa","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","Canopy.diameter_log2_Hodgson2023","Canopy.height_log2_Hodgson2023","SLA.mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023"
"Abies",NA,NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA,NA
"Abutilon theophrasti",NA,NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA
"Acer",NA,NA,NA,NA,NA,NA
"Acer campestre",NA,NA,NA,NA,NA,NA
"Acer negundo",NA,NA,NA,NA,NA,NA
"Acer platanoides",NA,NA,NA,NA,NA,NA
"Acer pseudoplatanus",NA,NA,NA,NA,NA,NA
"Achillea","Achillea millefolium","Herb.perenn",8,5,22.97992053,"1"
"Achillea collina",NA,NA,NA,NA,NA,NA
"Achillea ligustica",NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium","Herb.perenn",8,5,22.97992053,"1"
"Achillea odorata",NA,NA,NA,NA,NA,NA
"Achillea ptarmica",NA,NA,NA,NA,NA,NA
"Achnatherum calamagrostis",NA,NA,NA,NA,NA,NA
"Adonis","Adonis aestivalis_Adonis annua_Adonis flammea","Ann",5,5,23.5925464666667,""
"Adonis aestivalis","Adonis aestivalis","Ann",5,5,23.72666667,""
"Adonis annua","Adonis annua","Ann",5,5,21.78750844,""
"Adonis flammea","Adonis flammea","Ann",5,5,25.26346429,""
"Adoxa moschatellina",NA,NA,NA,NA,NA,NA
"Aegilops","Aegilops cylindrica_Aegilops geniculata_Aegilops lorentii_Aegilops neglecta_Aegilops triuncialis","Ann",3.4,3.4,21.004695166,""
"Aegilops biuncialis","Aegilops lorentii","Ann",3,3,17.04333333,""
"Aegilops cylindrica","Aegilops cylindrica","Ann",4,4,23.53198254,""
"Aegilops geniculata","Aegilops geniculata","Ann",3,3,25.83944784,""
"Aegilops neglecta","Aegilops neglecta","Ann",3,3,16.6,""
"Aegilops triuncialis","Aegilops triuncialis","Ann",4,4,22.00871212,""
"Aegonychon purpurocaeruleum",NA,NA,NA,NA,NA,NA
"Aegopodium podagraria",NA,NA,NA,NA,NA,NA
"Aesculus hippocastanum",NA,NA,NA,NA,NA,NA
"Aethusa cynapium","Aethusa cynapium","Ann",6,6,33.39294557,""
"Aethusa cynapium subsp. cynapium","Aethusa cynapium","Ann",6,6,33.39294557,""
"Agrimonia eupatoria","Agrimonia eupatoria","Herb.perenn",8,6,19.523,"0"
"Agropyron",NA,NA,NA,NA,NA,NA
"Agrostemma githago","Agrostemma githago","Ann",5,6,17.65875,""
"Agrostis","Agrostis capillaris_Agrostis gigantea_Agrostis stolonifera","Herb.perenn",8,4.66666666666667,29.4336497266667,"0_1"
"Agrostis canina",NA,NA,NA,NA,NA,NA
"Agrostis capillaris","Agrostis capillaris","Herb.perenn",6,5,28.59363636,"0"
"Agrostis curtisii",NA,NA,NA,NA,NA,NA
"Agrostis gigantea","Agrostis gigantea","Herb.perenn",9,6,30.50333333,"1"
"Agrostis stolonifera","Agrostis stolonifera","Herb.perenn",9,3,29.20397949,"1"
"Agrostis stolonifera var. stolonifera","Agrostis stolonifera","Herb.perenn",9,3,29.20397949,"1"
"Ailanthus altissima",NA,NA,NA,NA,NA,NA
"Aira armoricana",NA,NA,NA,NA,NA,NA
"Aira caryophyllea",NA,NA,NA,NA,NA,NA
"Aira cupaniana",NA,NA,NA,NA,NA,NA
"Aira multiculmis",NA,NA,NA,NA,NA,NA
"Ajuga chamaepitys","Ajuga chamaepitys subsp. chamaepitys","Ann",6,4,18.1725,""
"Ajuga genevensis",NA,NA,NA,NA,NA,NA
"Ajuga iva",NA,NA,NA,NA,NA,NA
"Ajuga reptans","Ajuga reptans","Herb.perenn",9,4,22.64375,"1"
"Alcea rosea",NA,NA,NA,NA,NA,NA
"Alchemilla",NA,NA,NA,NA,NA,NA
"Alchemilla acutiloba",NA,NA,NA,NA,NA,NA
"Alchemilla xanthochlora",NA,NA,NA,NA,NA,NA
"Alisma lanceolatum","Alisma lanceolatum","Herb.perenn",6,6,22.58,"1"
"Alisma plantago-aquatica","Alisma plantago-aquatica","Herb.perenn",6,6,29.7325,"1"
"Alkanna matthioli",NA,NA,NA,NA,NA,NA
"Alkekengi officinarum","Physalis alkekengi","Herb.perenn",8,6,34.54,"0"
"Alliaria petiolata","Alliaria petiolata","Bienn",5,7,36.26914286,""
"Allium","Allium vineale","Herb.perenn",5,5,18.71,"1"
"Allium ampeloprasum",NA,NA,NA,NA,NA,NA
"Allium cepa",NA,NA,NA,NA,NA,NA
"Allium cyrilli",NA,NA,NA,NA,NA,NA
"Allium neapolitanum",NA,NA,NA,NA,NA,NA
"Allium nigrum",NA,NA,NA,NA,NA,NA
"Allium oleraceum",NA,NA,NA,NA,NA,NA
"Allium pallens",NA,NA,NA,NA,NA,NA
"Allium paniculatum",NA,NA,NA,NA,NA,NA
"Allium polyanthum",NA,NA,NA,NA,NA,NA
"Allium porrum",NA,NA,NA,NA,NA,NA
"Allium roseum",NA,NA,NA,NA,NA,NA
"Allium rotundum",NA,NA,NA,NA,NA,NA
"Allium sativum",NA,NA,NA,NA,NA,NA
"Allium scaberrimum",NA,NA,NA,NA,NA,NA
"Allium scorodoprasum",NA,NA,NA,NA,NA,NA
"Allium sphaerocephalon",NA,NA,NA,NA,NA,NA
"Allium subhirsutum",NA,NA,NA,NA,NA,NA
"Allium triquetrum",NA,NA,NA,NA,NA,NA
"Allium vineale","Allium vineale","Herb.perenn",5,5,18.71,"1"
"Alnus glutinosa",NA,NA,NA,NA,NA,NA
"Alopecurus","Alopecurus myosuroides_Alopecurus pratensis_Alopecurus utriculatus","Ann_Herb.perenn",5.66666666666667,5.66666666666667,29.42010328,"0"
"Alopecurus geniculatus",NA,NA,NA,NA,NA,NA
"Alopecurus myosuroides","Alopecurus myosuroides","Ann",5,6,29.36366302,""
"Alopecurus pratensis","Alopecurus pratensis","Herb.perenn",8,6,28.15428571,"0"
"Alopecurus rendlei",NA,NA,NA,NA,NA,NA
"Alopecurus utriculatus","Alopecurus utriculatus","Ann",4,5,30.74236111,""
"Althaea cannabina",NA,NA,NA,NA,NA,NA
"Althaea officinalis",NA,NA,NA,NA,NA,NA
"Alyssum","Alyssum alyssoides_Alyssum simplex","Ann",4,4,17.665351345,""
"Alyssum alyssoides","Alyssum alyssoides","Ann",4,4,20.80402567,""
"Alyssum granatense",NA,NA,NA,NA,NA,NA
"Alyssum minutum",NA,NA,NA,NA,NA,NA
"Alyssum montanum",NA,NA,NA,NA,NA,NA
"Alyssum simplex","Alyssum simplex","Ann",4,4,14.52667702,""
"Amaranthaceae",NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus blitoides_Amaranthus blitum_Amaranthus hybridus_Amaranthus retroflexus","Ann",6.5,6,25.1939583325,""
"Amaranthus albus",NA,NA,NA,NA,NA,NA
"Amaranthus blitoides","Amaranthus blitoides","Ann",7,4,24.69,""
"Amaranthus blitum","Amaranthus blitum","Ann",7,6,36.18333333,""
"Amaranthus blitum subsp. emarginatus","Amaranthus blitum","Ann",7,6,36.18333333,""
"Amaranthus caudatus",NA,NA,NA,NA,NA,NA
"Amaranthus deflexus",NA,NA,NA,NA,NA,NA
"Amaranthus graecizans",NA,NA,NA,NA,NA,NA
"Amaranthus hybridus","Amaranthus hybridus","Ann",6,7,22.575,""
"Amaranthus powellii",NA,NA,NA,NA,NA,NA
"Amaranthus powellii subsp. bouchonii",NA,NA,NA,NA,NA,NA
"Amaranthus retroflexus","Amaranthus retroflexus","Ann",6,7,17.3275,""
"Amaranthus tricolor",NA,NA,NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA,NA,NA
"Ambrosia artemisiifolia",NA,NA,NA,NA,NA,NA
"Ambrosia psilostachya",NA,NA,NA,NA,NA,NA
"Ammi majus","Ammi majus","Ann",5,5,23.33666667,""
"Ammoides pusilla",NA,NA,NA,NA,NA,NA
"Anacamptis morio",NA,NA,NA,NA,NA,NA
"Anacamptis pyramidalis",NA,NA,NA,NA,NA,NA
"Anacyclus clavatus","Anacyclus clavatus","Ann",7,5,22.794,""
"Anacyclus radiatus",NA,NA,NA,NA,NA,NA
"Anaphalis margaritacea",NA,NA,NA,NA,NA,NA
"Anchusa","Anchusa azurea_Anchusa officinalis","Herb.perenn",6.5,6,18.80722222,"0_1"
"Anchusa azurea","Anchusa azurea","Herb.perenn",7,6,16.42,"1"
"Anchusa hybrida",NA,NA,NA,NA,NA,NA
"Anchusa officinalis","Anchusa officinalis","Herb.perenn",6,6,21.19444444,"0"
"Anchusa puechii",NA,NA,NA,NA,NA,NA
"Andrachne telephioides",NA,NA,NA,NA,NA,NA
"Androsace elongata",NA,NA,NA,NA,NA,NA
"Androsace maxima","Androsace maxima","Ann",3,2,20.464,""
"Andryala integrifolia","Andryala integrifolia","Ann",6,6,26.02675871,""
"Andryala rothia","Andryala laxiflora","Ann",5,5,32.52968997,""
"Anemone coronaria",NA,NA,NA,NA,NA,NA
"Anemone hortensis",NA,NA,NA,NA,NA,NA
"Anethum graveolens","Anethum graveolens","Ann",5,5,29.81333333,""
"Angelica sylvestris",NA,NA,NA,NA,NA,NA
"Anisantha diandra",NA,NA,NA,NA,NA,NA
"Anisantha madritensis",NA,NA,NA,NA,NA,NA
"Anisantha rigida",NA,NA,NA,NA,NA,NA
"Anisantha rubens",NA,NA,NA,NA,NA,NA
"Anisantha sterilis",NA,NA,NA,NA,NA,NA
"Anisantha tectorum","Bromus tectorum","Ann",4,5,34.0493165,""
"Antennaria dioica",NA,NA,NA,NA,NA,NA
"Anthemis","Anthemis arvensis_Anthemis cotula","Ann",6,5,26.219166665,""
"Anthemis arvensis","Anthemis arvensis","Ann",6,5,25.375,""
"Anthemis arvensis subsp. arvensis","Anthemis arvensis","Ann",6,5,25.375,""
"Anthemis arvensis subsp. incrassata","Anthemis arvensis","Ann",6,5,25.375,""
"Anthemis austriaca",NA,NA,NA,NA,NA,NA
"Anthemis cotula","Anthemis cotula","Ann",6,5,27.06333333,""
"Anthemis maritima",NA,NA,NA,NA,NA,NA
"Anthemis ruthenica",NA,NA,NA,NA,NA,NA
"Anthoxanthum aristatum",NA,NA,NA,NA,NA,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum","Herb.perenn",5,5,26.78,"0"
"Anthriscus","Anthriscus caucalis_Anthriscus sylvestris","Ann_Herb.perenn",6.5,6.5,34.32482143,"0"
"Anthriscus caucalis","Anthriscus caucalis","Ann",6,6,39.04714286,""
"Anthriscus cerefolium",NA,NA,NA,NA,NA,NA
"Anthriscus sylvestris","Anthriscus sylvestris","Herb.perenn",7,7,29.6025,"0"
"Anthyllis circinnata","Hymenocarpos circinnatus","Ann",7,3,17.57333333,""
"Anthyllis vulneraria",NA,NA,NA,NA,NA,NA
"Anthyllis vulneraria subsp. vulneraria",NA,NA,NA,NA,NA,NA
"Antirrhinum majus",NA,NA,NA,NA,NA,NA
"Apera interrupta","Apera interrupta","Ann",4,5,22.245,""
"Apera spica-venti","Apera spica-venti","Ann",5,6,18.712,""
"Aphanes arvensis","Aphanes arvensis","Ann",5,3,23.38875,""
"Aphanes australis","Aphanes australis","Ann",5,3,31.85285714,""
"Aphyllanthes monspeliensis",NA,NA,NA,NA,NA,NA
"Apiaceae",NA,NA,NA,NA,NA,NA
