"accepted_taxa","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Flowering_Ecoflora","Root.depth_m_Ecoflora","Root.type_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.color_Biolflor","Flower.pollinator_Biolflor","Flower.sex_Biolflor","Flower.sex.timing_Biolflor","Flower.UV.reflectance_Biolflor","Plant.lifespan_Biolflor","Seed.mass_mg_Biolflor","Seed.length_mm_Biolflor","Strategy_Grime_Biolflor"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon","Abutilon theophrasti",1.5,"",NA,"",0.009,"Abutilon theophrasti","","","","",NA,NA,10.6053333333333,3.51,""
"Abutilon theophrasti","Abutilon theophrasti",1.5,"",NA,"",0.009,"Abutilon theophrasti","","","","",NA,NA,10.6053333333333,3.51,""
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer","Acer campestre_Acer platanoides_Acer pseudoplatanus",23.2444444444444,"",NA,"",52.5166666666667,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus","","","","",11.5,NA,NA,NA,""
"Acer campestre","Acer campestre",15.7333333333333,"",NA,"",74.4333333333333,"Acer campestre","","","","",11.5,NA,NA,NA,""
"Acer negundo",NA,NA,NA,NA,NA,NA,"Acer negundo","","","","",NA,NA,NA,NA,""
"Acer platanoides","Acer platanoides",30,"",NA,"",NA,"Acer platanoides","","","","",11.5,NA,NA,NA,""
"Acer pseudoplatanus","Acer pseudoplatanus",24,"",NA,"",30.6,"Acer pseudoplatanus","","","","",11.5,NA,NA,NA,""
"Achillea","Achillea millefolium_Achillea ptarmica",0.35125,"",0.3,"",0.18,"Achillea collina_Achillea millefolium_Achillea ptarmica","","","","",3.5,NA,NA,NA,""
"Achillea collina",NA,NA,NA,NA,NA,NA,"Achillea collina","","","","",NA,NA,NA,NA,""
"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium",0.3025,"",0.3,"",0.16,"Achillea millefolium","","","","",3.5,NA,NA,NA,""
"Achillea odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ptarmica","Achillea ptarmica",0.4,"",NA,"",0.2,"Achillea ptarmica","","","","",3.5,NA,NA,NA,""
"Achnatherum calamagrostis",NA,NA,NA,NA,NA,NA,"Achnatherum calamagrostis","","","","",NA,NA,NA,NA,""
"Adonis","Adonis annua",0.25,"",NA,"",11.6,"Adonis aestivalis_Adonis annua_Adonis flammea","","","","",3.5,NA,NA,NA,""
"Adonis aestivalis",NA,NA,NA,NA,NA,NA,"Adonis aestivalis","","","","",3.5,NA,NA,NA,""
"Adonis annua","Adonis annua",0.25,"",NA,"",11.6,"Adonis annua","","","","",3.5,NA,NA,NA,""
"Adonis flammea",NA,NA,NA,NA,NA,NA,"Adonis flammea","","","","",NA,NA,NA,NA,""
"Adoxa moschatellina","Adoxa moschatellina",0.06,"",NA,"",0.71,"Adoxa moschatellina","","","","",11.5,NA,NA,NA,""
"Aegilops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops biuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops geniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegonychon purpurocaeruleum","Buglossoides purpurocaerulea",0.6,"",NA,"",15,"Buglossoides purpurocaerulea","","","","",18.5,NA,NA,NA,""
"Aegopodium podagraria","Aegopodium podagraria",0.7,"",NA,"",1.99,"Aegopodium podagraria","","","","",3.5,NA,NA,NA,""
"Aesculus hippocastanum","Aesculus hippocastanum",19.625,"",NA,"",NA,"Aesculus hippocastanum","","","","",11.5,NA,10594.8166666667,25,""
"Aethusa cynapium","Aethusa cynapium",0.625,"",NA,"",1.64,"Aethusa cynapium","","","","",3.5,NA,NA,NA,""
"Aethusa cynapium subsp. cynapium","Aethusa cynapium",0.625,"",NA,"",1.64,"Aethusa cynapium","","","","",3.5,NA,NA,NA,""
"Agrimonia eupatoria","Agrimonia eupatoria",0.6,"",NA,"",NA,"Agrimonia eupatoria","","","","",53,NA,NA,NA,""
"Agropyron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostemma githago","Agrostemma githago",0.45,"",NA,"",15.25,"Agrostemma githago","","","","",3.5,NA,15.2236666666667,2.92666666666667,""
