"accepted_taxa","original_taxa_Groot","Root.lateral.spread_cm.yr-1_Groot","Root.diameter_mm_Groot","Root.C.concentration_Groot","Root.C.N.ratio_Groot","Root.dry.matter_Groot","Root.length.density_cm.cm-3_Groot","Root.mass.fraction_Groot","Root.mycorrhizal.colonization_Groot","Root.N.concentration_Groot","Root.tissue.density_g.cm-3_Groot","Root.depth_m_Groot","Specific.root.length_m.g-1_Groot"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon","Abutilon theophrasti",NA,NA,NA,NA,NA,NA,0.237222222222222,NA,NA,NA,NA,NA
"Abutilon theophrasti","Abutilon theophrasti",NA,NA,NA,NA,NA,NA,0.237222222222222,NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha","Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica","Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA
"Acer","Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus",NA,0.779821456849008,420.287348088889,33.1850969789861,0.266,3.05060533768333,0.246359393694444,60.046617325,12.5192155164803,0.407398724394097,1.95021666666667,26.7615931181501
"Acer campestre","Acer campestre",NA,0.824716,NA,27.11,NA,NA,0.093980999,81,12.54,0.28,NA,9.32639548166667
"Acer negundo","Acer negundo",NA,0.433881122757143,374.502044266667,22.2443956034444,NA,0.23939601305,NA,48.8214693,15.2137675099524,0.424861703666667,2.8194,33.2846570928462
"Acer platanoides","Acer platanoides",NA,0.953838934347222,433.41,45.3117789175,0.266,4.100095,0.373004585333333,62.325,10.9800055515937,0.452549377034722,0.9625,28.23956405715
"Acer pseudoplatanus","Acer pseudoplatanus",NA,0.906849770291667,452.95,38.074213395,NA,4.812325,0.27209259675,48.04,11.343089004375,0.472183816875,2.06875,36.1957558409375
"Achillea","Achillea millefolium_Achillea pannonica_Achillea ptarmica_Achillea setacea",13.325,0.244490509882353,382.984060305503,56.34662749,0.163713509754444,3.87700751675,0.433592900733846,52.9814814814815,18.951660613076,0.167748050487179,0.16,172.461148879574
"Achillea collina","Achillea pannonica_Achillea setacea",13,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA
"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium",14.3,0.244490509882353,391.165587277673,56.34662749,0.24323894162,3.87700751675,0.553384646334359,54.9444444444444,12.0047001150409,0.167748050487179,0.16,172.461148879574
"Achillea odorata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ptarmica","Achillea ptarmica",13,NA,374.802533333333,NA,0.0841880778888889,NA,0.313801155133333,30,25.8986211111111,NA,NA,NA
"Achnatherum calamagrostis","Calamagrostis lapponica_Stipa calamagrostis",8.8,0.61,448.0197363,49.62218859,0.198559671,NA,NA,0,9.028617016,NA,0.033,NA
"Adonis","Adonis aestivalis",NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
"Adonis aestivalis","Adonis aestivalis",NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA
"Adonis annua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adoxa moschatellina","Adoxa moschatellina",13,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA
"Aegilops","Aegilops cylindrica_Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,3.33333333333333,NA,NA,NA,NA
"Aegilops biuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops cylindrica","Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Aegilops geniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops triuncialis","Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,6.66666666666667,NA,NA,NA,NA
"Aegonychon purpurocaeruleum","Buglossoides purpurocaerulea",15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegopodium podagraria","Aegopodium podagraria",9.3,NA,NA,NA,NA,NA,0.565,61.6315789473684,NA,NA,NA,NA
"Aesculus hippocastanum","Aesculus hippocastanum",NA,0.742977159523809,468.585125,53.6966666666667,NA,NA,0.235996505,64,10.7966875,0.169583333333333,NA,18.0003539527778
"Aethusa cynapium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium subsp. cynapium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia agrimonoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia eupatoria","Agrimonia eupatoria",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agropyron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostemma githago","Agrostemma githago",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"Agrostis","Agrostis canina_Agrostis capillaris_Agrostis curtisii_Agrostis gigantea_Agrostis stolonifera",8.04,0.157935017324675,429.9347470375,66.1138589565,0.192688821644295,12.025,0.39202301325,58.4256946677083,7.41879426528572,0.221766175856459,NA,247.48413418916
"Agrostis canina","Agrostis canina",10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis capillaris","Agrostis capillaris",7.7,0.175276095285714,444.769494075,66.1138589565,0.192688821644295,6.15,0.42507703705,35.18472266875,8.63758853057143,0.230872485894737,NA,141.263937822763
"Agrostis curtisii","Agrostis curtisii",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis gigantea","Agrostis gigantea",8.8,NA,NA,NA,NA,NA,0.387208633366667,NA,NA,NA,NA,NA
"Agrostis stolonifera","Agrostis stolonifera",13,0.140593939363636,415.1,NA,NA,17.9,0.363783369333333,81.6666666666667,6.2,0.212659865818182,NA,353.704330555556
"Agrostis stolonifera var. stolonifera","Agrostis stolonifera",13,0.140593939363636,415.1,NA,NA,17.9,0.363783369333333,81.6666666666667,6.2,0.212659865818182,NA,353.704330555556
"Ailanthus altissima","Ailanthus altissima",NA,NA,406.3348048,38.74257941,NA,NA,0.4975,NA,12.88015793975,NA,0.273281632,0.6473281885
"Aira armoricana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira caryophyllea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira cupaniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira multiculmis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga chamaepitys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga genevensis","Ajuga genevensis",9.8,0.202333333,NA,NA,NA,NA,0.690522244,50,NA,0.202840909,NA,152.9424324
"Ajuga iva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga reptans","Ajuga reptans",18.7,0.442083333333333,408.87247734,28.522827108,NA,1.51188665265,0.3127907042,66,13.63272556,0.068,NA,220.43860796
"Alcea rosea","Alcea rosea",NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA
"Alchemilla","Alchemilla xanthochlora",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla acutiloba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla xanthochlora","Alchemilla xanthochlora",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alisma lanceolatum","Alisma lanceolatum",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alisma plantago-aquatica","Alisma plantago-aquatica",0.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
