"accepted_taxa","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA"
"Abies",NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA
"Abutilon theophrasti",NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA
"Acalypha persimilis",NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA
"Acer","""acer campestre l.""_""acer negundo l.""_""acer platanoides l.""_""acer pseudoplatanus l.""","",NA,NA,NA
"Acer campestre","""acer campestre l.""","",NA,NA,NA
"Acer negundo","""acer negundo l.""","",NA,NA,NA
"Acer platanoides","""acer platanoides l.""","",NA,NA,NA
"Acer pseudoplatanus","""acer pseudoplatanus l.""","",NA,NA,NA
"Acer rubrum",NA,NA,NA,NA,NA
"Achillea","""achillea nobilis l.""_""achillea ptarmica l.""","5",4.7,4.7,11.45
"Achillea collina",NA,NA,NA,NA,NA
"Achillea ligustica",NA,NA,NA,NA,NA
"Achillea millefolium",NA,NA,NA,NA,NA
"Achillea millefolium ceretanica",NA,NA,NA,NA,NA
"Achillea nobilis","""achillea nobilis l.""","5",3.4,3.4,9.9
"Achillea nobilis nobilis","""achillea nobilis l.""","5",3.4,3.4,9.9
"Achillea ptarmica","""achillea ptarmica l.""","5",6,6,13
"Achnatherum calamagrostis",NA,NA,NA,NA,NA
"Adonis","""adonis aestivalis l.""","",NA,NA,NA
"Adonis aestivalis","""adonis aestivalis l.""","",NA,NA,NA
"Adonis aestivalis squarrosa","""adonis aestivalis l.""","",NA,NA,NA
"Adonis annua",NA,NA,NA,NA,NA
"Adonis flammea",NA,NA,NA,NA,NA
"Adoxa moschatellina","""adoxa moschatellina l.""","5",4,4,13
"Aegilops",NA,NA,NA,NA,NA
"Aegilops biuncialis",NA,NA,NA,NA,NA
"Aegilops cylindrica",NA,NA,NA,NA,NA
"Aegilops geniculata",NA,NA,NA,NA,NA
"Aegilops neglecta",NA,NA,NA,NA,NA
"Aegilops triuncialis",NA,NA,NA,NA,NA
"Aegonychon purpurocaeruleum",NA,NA,NA,NA,NA
"Aegopodium podagraria","""aegopodium podagraria l.""","3",1.9,1.9,9.3
"Aesculus hippocastanum","""aesculus hippocastanum l.""","",NA,NA,NA
"Aethusa",NA,NA,NA,NA,NA
"Aethusa cynapium",NA,NA,NA,NA,NA
"Aethusa cynapium cynapium",NA,NA,NA,NA,NA
"Aethusa cynapium segetalis",NA,NA,NA,NA,NA
"Aethusa cynapium segetalis",NA,NA,NA,NA,NA
"Agrimonia","""agrimonia eupatoria l.""","3",1,1,3
"Agrimonia eupatoria","""agrimonia eupatoria l.""","3",1,1,3
"Agrimonia eupatoria eupatoria","""agrimonia eupatoria l.""","3",1,1,3
"Agropyron",NA,NA,NA,NA,NA
"Agrostemma githago","""agrostemma githago l.""","",NA,NA,NA
"Agrostis","""agrostis canina agg. ""_""agrostis capillaris l.""_""agrostis stolonifera l.""","4_5",4.53333333333333,4.53333333333333,10.3
"Agrostis canina","""agrostis canina agg. ""","5",5.9,5.9,10.2
"Agrostis capillaris","""agrostis capillaris l.""","4",2.7,2.7,7.7
"Agrostis gigantea",NA,NA,NA,NA,NA
"Agrostis stolonifera","""agrostis stolonifera l.""","5",5,5,13
"Ailanthus altissima",NA,NA,NA,NA,NA
"Aira caryophyllea","""aira caryophyllea l.""","",NA,NA,NA
"Aira cupaniana",NA,NA,NA,NA,NA
"Ajuga chamaepitys",NA,NA,NA,NA,NA
"Ajuga genevensis","""ajuga genevensis l.""","5",4,4,9.8
"Ajuga iva",NA,NA,NA,NA,NA
"Ajuga reptans","""ajuga reptans l.""","5",3.8,3.8,18.7
"Alcea rosea","""alcea rosea l.""","",NA,NA,NA
"Alchemilla","""alchemilla vulgaris l.""","2",0.5,0.5,0.5
"Alchemilla australis",NA,NA,NA,NA,NA
"Alchemilla monticola",NA,NA,NA,NA,NA
"Alchemilla reniformis",NA,NA,NA,NA,NA
"Alchemilla vulgaris","""alchemilla vulgaris l.""","2",0.5,0.5,0.5
"Alchemilla xanthochlora",NA,NA,NA,NA,NA
