"accepted_taxa","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon theophrasti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha persimilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer campestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer negundo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer platanoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer pseudoplatanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer rubrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea","Achillea collina_Achillea millefolium","5","1",4.5,"5_6",44.5075,0.59,"Pd",0.155909375,"10","Autumn",155.2588458
"Achillea collina","Achillea collina","","",4,"6",58,0.8,"",0.16,"10","Autumn",150
"Achillea ligustica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Achillea millefolium","5","1",5,"5",31.015,0.38,"Pd",0.15181875,"10","Autumn",160.5176916
"Achillea millefolium ceretanica","Achillea millefolium","5","1",5,"5",31.015,0.38,"Pd",0.15181875,"10","Autumn",160.5176916
"Achillea nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea nobilis nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achillea ptarmica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achnatherum calamagrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis aestivalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis aestivalis squarrosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis annua",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adonis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adoxa moschatellina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops biuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops cylindrica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops geniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops neglecta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegilops triuncialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegonychon purpurocaeruleum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aegopodium podagraria","Aegopodium podagraria","3","1",5,"5",76.125,NA,"Mpd",1.918,"10","Autumn",300
"Aesculus hippocastanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium cynapium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aethusa cynapium segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrimonia","Agrimonia eupatoria","3","1",4,"6",35,1,"Py",19.9384875,"10","Autumn",179.4666667
"Agrimonia eupatoria","Agrimonia eupatoria","3","1",4,"6",35,1,"Py",19.9384875,"10","Autumn",179.4666667
"Agrimonia eupatoria eupatoria","Agrimonia eupatoria","3","1",4,"6",35,1,"Py",19.9384875,"10","Autumn",179.4666667
"Agropyron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostemma githago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis","Agrostis canina_Agrostis capillaris_Agrostis stolonifera","4_5","1",3,"6",45.5202083333333,NA,"",0.092820196,"9","Late summer",340.949293633333
"Agrostis canina","Agrostis canina","5","1",3,"6",35.71666667,NA,"",0.05484,"9","Late summer",298.6172619
"Agrostis capillaris","Agrostis capillaris","4","1",3,"6",41.02395833,NA,"",0.183370588,"9","Late summer",318.0263455
"Agrostis gigantea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis stolonifera","Agrostis stolonifera","5","1",3,"6",59.82,NA,"",0.04025,"9","Late summer",406.2042735
"Ailanthus altissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aira caryophyllea","Aira caryophyllea","","0",2,"6",11,NA,"",0.124166667,"8","Late summer",225.9048945
"Aira cupaniana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga chamaepitys",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga genevensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga iva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ajuga reptans","Ajuga reptans","5","1",4,"4",10.625,0.3,"",1.387775,"8","Late summer",332.1775558
"Alcea rosea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla","Alchemilla monticola_Alchemilla xanthochlora","3_5","1",4,"5",29.29,NA,"",0.4305,"9","Late summer",152.949475
"Alchemilla australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla monticola","Alchemilla monticola","5","1",4,"5",18.58,NA,"",0.426,"9","Late summer",158.69895
"Alchemilla reniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchemilla xanthochlora","Alchemilla xanthochlora","3","1",4,"5",40,NA,"",0.435,"9","Late summer",147.2
"Alisma lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
