"spec.name","spec.name.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Abies","Abies",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,1,1,"wfo-4000000038","urn:lsid:ipni.org:names:325655-2","40002848","Abies","genus","wfo-7000000470","Mill.","Pinaceae","","","","Abies","","","","genus","Valid","Gard. Dict. Abr.","Accepted","","",NA,"Source in seed data: TPL1.1 Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/G/Pinaceae/Abies/ >The Plant List v.1.1.</a> Originally in <a ","https://padme.rbge.org.uk/wfo/wfo-4000000038","The Conifer TEN","Pinophyta","","",FALSE,"","",""
"Abies","Abies",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,1,2,"wfo-4000046834","urn:lsid:ipni.org:names:11613-1","","Abies","genus","","D.Don","","","","","Abies","","","","genus","","in Loud. Arb. Brit. iv. 2329 (1838).","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021","","ipni","","","",FALSE,"","",""
"Abies","Abies",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,1,3,"wfo-4000048161","urn:lsid:ipni.org:names:11614-1","","Abies","genus","","L.","","","","","Abies","","","","genus","","Fl. Lapp. 277 (1737); Link, in Linnaea, xv. (1841) 525.","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from A to G, information provided by Alan E. on email Nov. 08 2021","","ipni","","","",FALSE,"","",""
"Abutilon","Abutilon",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,2,1,"wfo-4000000069","urn:lsid:ipni.org:names:30000557-2","40003039","Abutilon","genus","wfo-7000000360","Mill.","Malvaceae","","","","Abutilon","","","","genus","Valid","Gard. Dict. Abr. ed. 4 : s.p. (1754)","Accepted","","",NA,"Source in seed data: TPL1.1 Update namepublishedIn from Gard. Dict. Abr. (ed. 4) [23]. 1754. (28 Jan 1754) to Gard. Dict. Abr. ed. 4 : s.p. (1754), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.th","","The Malvaceae TEN","A","","",FALSE,"","",""
"Abutilon teophrasti","Abutilon teophrasti",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,3,1,"wfo-0000512325","urn:lsid:ipni.org:names:1044174-2","743415","Abutilon theophrasti","species","wfo-4000000069","Medik.","Malvaceae","","","","Abutilon","","theophrasti","","species","Valid","Malvenfam. : 28 (1787)","Accepted","","wfo-0000496721",NA,"Source in seed data: cmp Update namepublishedIn from Malvenfam. 28 1787 to Malvenfam. : 28 (1787), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2611008 >The Pla","","The Malvaceae TEN","A","kew-2611008","",FALSE,"","",""
"Abutilon theophrasti","Abutilon theophrasti",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,4,1,"wfo-0000512325","urn:lsid:ipni.org:names:1044174-2","743415","Abutilon theophrasti","species","wfo-4000000069","Medik.","Malvaceae","","","","Abutilon","","theophrasti","","species","Valid","Malvenfam. : 28 (1787)","Accepted","","wfo-0000496721",NA,"Source in seed data: cmp Update namepublishedIn from Malvenfam. 28 1787 to Malvenfam. : 28 (1787), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2611008 >The Pla","","The Malvaceae TEN","A","kew-2611008","",FALSE,"","",""
"Acacia","Acacia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,5,1,"wfo-4000000074","urn:lsid:ipni.org:names:325783-2","","Acacia","genus","wfo-6500000806","Mill.","Fabaceae","Caesalpinioideae","","","Acacia","","","","genus","Conserved","Gard. Dict. Abr., ed. 4. 1: [25] (1754)","Accepted","","",NA,"Source in seed data: TPL1.1 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Leguminosae/Acacia/ >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/browse/A/Leguminosae/Acacia/ >The Plant List v.1.","https://www.legumedata.org/taxonomy/taxon/2611079","The Fabaceae TEN - Legume Taxonomy Working Group","A","","",FALSE,"","",""
"Acalypha","Acalypha",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,6,1,"wfo-4000000080","urn:lsid:ipni.org:names:327639-2","40003111","Acalypha","genus","wfo-7000000224","L.","Euphorbiaceae","","","","Acalypha","","","","genus","Valid","Sp. Pl. : 1003 (1753)","Accepted","","",NA,"Source in seed data: TPL1.1 Update namepublishedIn from Sp. Pl. 2: 1003. 1753. (1 May 1753) to Sp. Pl. : 1003 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Eu","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:327639-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","",""
"Acalypha ostryifolia","Acalypha ostryifolia",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,7,1,"wfo-0000216374","urn:lsid:ipni.org:names:337688-1","1015","Acalypha persimilis","species","wfo-4000000080","Müll.Arg.","Euphorbiaceae","","","","Acalypha","","persimilis","","species","Valid","Linnaea 34: 25 (1865)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Linnaea 34: 25 1865 to Linnaea 34: 25 (1865), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-1015 >The Plant ","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:337688-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-1015","",TRUE,"Synonym","wfo-0000979275","Acalypha ostryifolia"
"Acalypha virginica","Acalypha virginica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,8,1,"wfo-0000943296","urn:lsid:ipni.org:names:1278-2","617","Acalypha gracilens","species","wfo-4000000080","A.Gray","Euphorbiaceae","","","","Acalypha","","gracilens","","species","Valid","Manual : 408 (1848)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Manual 408 1848 to Manual : 408 (1848), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-617 >The Plant List v.","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1278-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-617","",TRUE,"Synonym","wfo-0000252069","Acalypha virginica"
