"original_taxa","accepted_wfo","wfo_taxonID","wfo_rank","wfo_authorship","wfo_family","wfo_genus","wfo_status","wfo_match"
"Abies","Abies","wfo-4000000038","genus","Mill.","Pinaceae","Abies","Accepted","MATCH"
"Abutilon","Abutilon","wfo-4000000069","genus","Mill.","Malvaceae","Abutilon","Accepted","MATCH"
"Abutilon teophrasti","Abutilon theophrasti","wfo-0000512325","species","Medik.","Malvaceae","Abutilon","Accepted","FUZZY"
"Abutilon theophrasti","Abutilon theophrasti","wfo-0000512325","species","Medik.","Malvaceae","Abutilon","Accepted","MATCH"
"Acacia","Acacia","wfo-4000000074","genus","Mill.","Fabaceae","Acacia","Accepted","MATCH"
"Acalypha","Acalypha","wfo-4000000080","genus","L.","Euphorbiaceae","Acalypha","Accepted","MATCH"
"Acalypha ostryifolia","Acalypha persimilis","wfo-0000216374","species","Müll.Arg.","Euphorbiaceae","Acalypha","Accepted","MATCH"
"Acalypha virginica","Acalypha virginica","wfo-0000252267","species","L.","Euphorbiaceae","Acalypha","Accepted","MATCH"
"Acer","Acer","wfo-4000000188","genus","L.","Sapindaceae","Acer","Accepted","MATCH"
"Acer campestre","Acer campestre","wfo-0000514040","species","L.","Sapindaceae","Acer","Accepted","MATCH"
"Acer negundo","Acer negundo","wfo-0000514643","species","L.","Sapindaceae","Acer","Accepted","MATCH"
"Acer platanoides","Acer platanoides","wfo-0000514884","species","L.","Sapindaceae","Acer","Accepted","MATCH"
"Acer pseudoplatanus","Acer pseudoplatanus","wfo-0000514908","species","L.","Sapindaceae","Acer","Accepted","MATCH"
"Acer rubrum","Acer rubrum","wfo-0000514966","species","L.","Sapindaceae","Acer","Accepted","MATCH"
"Achillea","Achillea","wfo-4000000214","genus","L.","Asteraceae","Achillea","Accepted","MATCH"
"Achillea collina","Achillea collina","wfo-0000070589","species","(Becker ex Rchb.f.) Heimerl","Asteraceae","Achillea","Accepted","MATCH"
"Achillea ligustica","Achillea ligustica","wfo-0000032595","species","All.","Asteraceae","Achillea","Accepted","MATCH"
"Achillea millefolium","Achillea millefolium","wfo-0000042097","species","L.","Asteraceae","Achillea","Accepted","MATCH"
"Achillea millefolium ceretanica","Achillea millefolium","wfo-0000042097","species","L.","Asteraceae","Achillea","Accepted","FUZZY"
"Achillea millefolium millefolium","Achillea millefolium","wfo-0000042097","species","L.","Asteraceae","Achillea","Accepted","FUZZY"
"Achillea nobilis","Achillea nobilis","wfo-0000092435","species","L.","Asteraceae","Achillea","Accepted","MATCH"
"Achillea nobilis nobilis","Achillea nobilis","wfo-0000092435","species","L.","Asteraceae","Achillea","Accepted","FUZZY"
"Achillea odorata","Aspilia silphioides","wfo-0000040535","species","Benth. & Hook.f.","Asteraceae","Aspilia","Accepted","MATCH"
"Achillea ptarmica","Achillea ptarmica","wfo-0000033807","species","L.","Asteraceae","Achillea","Accepted","MATCH"
"Achnatherum calamagrostis","Achnatherum calamagrostis","wfo-0000841262","species","(L.) P.Beauv.","Poaceae","Achnatherum","Accepted","MATCH"
"Acinos arvensis","Clinopodium acinos","wfo-0000890516","species","(L.) Kuntze","Lamiaceae","Clinopodium","Accepted","MATCH"
"Adonis","Adonis","wfo-4000000720","genus","L.","Ranunculaceae","Adonis","Accepted","MATCH"
"Adonis aestivalis","Adonis aestivalis","wfo-0000521105","species","L.","Ranunculaceae","Adonis","Accepted","MATCH"
"Adonis aestivalis squarrosa","Adonis aestivalis","wfo-0000521105","species","L.","Ranunculaceae","Adonis","Accepted","FUZZY"
