"id","euromed_name","tpl_name","ncbitaxon_uri"
1,Abutilon,Abutilon,
2,Abutilon theophrasti,Abutilon theophrasti,
3,Acacia,Acacia,
4,Acalypha,Acalypha,
5,Acalypha virginica,Acalypha virginica,
6,Acer campestre,Acer campestre,
7,Acer negundo,Acer negundo,
8,Acer platanoides,Acer platanoides,
9,Acer pseudoplatanus,Acer pseudoplatanus,
10,Achillea,Achillea,
11,Achillea millefolium,Achillea millefolium,
12,Achillea odorata,Achillea odorata,
13,Achillea ptarmica,Achillea ptarmica,
14,Adonis,Adonis,
15,Adonis aestivalis,Adonis aestivalis,
16,Adonis annua,Adonis annua,
17,Adonis flammea,Adonis flammea,
18,Aegilops,Aegilops,
19,Aegilops geniculata,Aegilops geniculata,
20,Aegopodium podagraria,Aegopodium podagraria,
21,Aethusa cynapium,Aethusa cynapium,
22,Agrimonia eupatoria,Agrimonia eupatoria,
23,Agropyron,Agropyron,
24,Agrostemma githago,Agrostemma githago,
25,Agrostis,Agrostis,
26,Agrostis capillaris,Agrostis capillaris,
27,Agrostis gigantea,Agrostis gigantea,
28,Agrostis stolonifera,Agrostis stolonifera,
29,Ailanthus altissima,Ailanthus altissima,
30,Ajuga chamaepitys,Ajuga chamaepitys,
31,Ajuga genevensis,Ajuga genevensis,
32,Ajuga reptans,Ajuga reptans,
33,Alchemilla xanthochlora,Alchemilla xanthochlora,
34,Alisma lanceolatum,Alisma lanceolatum,
35,Alkanna tinctoria,Alkanna tinctoria,
36,Alliaria petiolata,Alliaria petiolata,
37,Allium,Allium,
38,Allium ampeloprasum,Allium ampeloprasum,
39,Allium cepa,Allium cepa,
40,Allium neapolitanum,Allium neapolitanum,
41,Allium nigrum,Allium nigrum,
42,Allium oleraceum,Allium oleraceum,
43,Allium roseum,Allium roseum,
44,Allium rotundum,Allium rotundum,
45,Allium subhirsutum,Allium subhirsutum,
46,Allium vineale,Allium vineale,
47,Alopecurus,Alopecurus,
48,Alopecurus geniculatus,Alopecurus geniculatus,
49,Alopecurus myosuroides,Alopecurus myosuroides,
50,Alopecurus pratensis,Alopecurus pratensis,
51,Alopecurus rendlei,Alopecurus rendlei,
52,Alopecurus utriculatus,Alopecurus utriculatus,
53,Althaea officinalis,Althaea officinalis,
54,Alyssum,Alyssum,
55,Alyssum alyssoides,Alyssum alyssoides,
56,Alyssum granatense,Alyssum granatense,
57,Alyssum minutum,Alyssum minutum,
58,Alyssum simplex,Alyssum simplex,
59,Amaranthus,Amaranthus,
60,Amaranthus albus,Amaranthus albus,
61,Amaranthus blitoides,Amaranthus blitoides,
62,Amaranthus blitum,Amaranthus blitum,
63,Amaranthus caudatus,Amaranthus caudatus,
64,Amaranthus deflexus,Amaranthus deflexus,
65,Amaranthus graecizans,Amaranthus graecizans,
66,Amaranthus hybridus,Amaranthus hybridus,
67,Amaranthus powellii,Amaranthus powellii,
68,Amaranthus retroflexus,Amaranthus retroflexus,
69,Amaranthus tricolor,Amaranthus tricolor,
70,Amaranthus viridis,Amaranthus viridis,
71,Ambrosia artemisiifolia,Ambrosia artemisiifolia,
72,Ammi majus,Ammi majus,
73,Ammoides pusilla,Ammoides pusilla,
74,Anacyclus clavatus,Anacyclus clavatus,
75,Anacyclus radiatus,Anacyclus radiatus,
76,Anagallis,Anagallis,
77,Anagallis arvensis,Anagallis arvensis var. caerulea,
78,Anagallis arvensis,Anagallis arvensis,
79,Anagallis foemina,Anagallis arvensis subsp. foemina,
80,Anchusa,Anchusa,
81,Anchusa azurea,Anchusa azurea,
82,Anchusa hybrida,Anchusa undulata subsp. hybrida,
83,Anchusa officinalis,Anchusa officinalis,
84,Anchusa puechii,Anchusa puechii,
85,Andrachne telephioides,Andrachne telephioides,
86,Androsace maxima,Androsace maxima,
87,Andryala integrifolia,Andryala integrifolia,
88,Andryala laxiflora,Andryala laxiflora,
89,Anemone hortensis,Anemone hortensis,
90,Anethum graveolens,Anethum graveolens,
91,Angelica sylvestris,Angelica sylvestris,
92,Anisantha diandra,Bromus diandrus,
93,Anisantha madritensis,Bromus rigidus,
94,Anisantha madritensis,Elymus repens,
95,Anisantha madritensis,Bromus madritensis,
96,Anisantha rigida,Bromus rigidus,
97,Anisantha rubens,Bromus rubens,
98,Anisantha sterilis,Bromus sterilis,
99,Anisantha tectorum,Bromus tectorum,
100,Anthemis,Anthemis,
101,Anthemis arvensis,Anthemis arvensis,
102,Anthemis cotula,Anthemis cotula,
103,Anthemis ruthenica,Anthemis ruthenica,
104,Anthoxanthum odoratum,Anthoxanthum odoratum,
105,Anthriscus,Anthriscus,
106,Anthriscus caucalis,Anthriscus caucalis,
107,Anthriscus cerefolium,Anthriscus cerefolium,
108,Anthriscus sylvestris,Anthriscus sylvestris,
109,Anthyllis vulneraria,Anthyllis vulneraria,
110,Apera spica-venti,Apera spica-venti,
111,Aphanes arvensis,Aphanes arvensis,
112,Apium,Apium,
113,Apium graveolens,Apium graveolens,
114,Arabidopsis thaliana,Arabidopsis thaliana,
115,Arctium,Arctium,
116,Arctium lappa,Arctium lappa,
117,Arctium minus,Arctium minus,
118,Arctium tomentosum,Arctium tomentosum,
119,Arenaria hispanica,Arenaria hispanica,
120,Arenaria serpyllifolia,Arenaria serpyllifolia,
242,Centaurea,Centaurea,
121,Argentina anserina,Potentilla anserina,
122,Arisarum simorrhinum,Arisarum simorrhinum,
123,Aristolochia clematitis,Aristolochia clematitis,
124,Armoracia rusticana,Armoracia rusticana,
125,Arrhenatherum elatius,Arrhenatherum elatius,
126,Arrhenatherum elatius subsp. bulbosum,Arrhenatherum elatius subsp. bulbosum,
127,Artemisia absinthium,Artemisia absinthium,
128,Artemisia annua,Artemisia annua,
129,Artemisia herba-alba,Artemisia herba-alba,
130,Artemisia verlotiorum,Artemisia verlotiorum,
131,Artemisia vulgaris,Artemisia vulgaris,
132,Arundo plinii,Arundo plinii,
133,Asclepias syriaca,Asclepias syriaca,
134,Asparagus officinalis,Asparagus officinalis,
135,Asparagus officinalis subsp. Officinalis,Asparagus officinalis,
136,Asperugo procumbens,Asperugo procumbens,
137,Asperula aristata,Asperula aristata,
138,Asperula arvensis,Asperula arvensis,
139,Asphodelus,Asphodelus,
140,Asphodelus ramosus,Asphodelus ramosus,
141,Astragalus,Astragalus,
142,Astragalus boeticus,Astragalus boeticus,
143,Astragalus cicer,Astragalus cicer,
144,Atriplex,Atriplex,
145,Atriplex halimus,Atriplex halimus,
146,Atriplex hastata,Atriplex prostrata subsp. calotheca,
147,Atriplex littoralis,Atriplex littoralis,
148,Atriplex oblongifolia,Atriplex oblongifolia,
149,Atriplex patula,Atriplex patula,
150,Atriplex prostrata,Atriplex prostrata,
151,Atriplex sagittata,Atriplex sagittata,
152,Atriplex tatarica,Atriplex tatarica,
153,Avena,Avena,
154,Avena barbata,Avena barbata,
155,Avena fatua,Avena fatua,
156,Avena sativa,Avena sativa,
157,Avena sterilis,Avena sterilis,
158,Ballota nigra,Ballota nigra,
159,Barbarea,Barbarea,
160,Barbarea intermedia,Barbarea intermedia,
161,Barbarea stricta,Barbarea stricta,
162,Barbarea vulgaris,Barbarea vulgaris,
163,Bassia,Bassia,
164,Bassia scoparia,Bassia scoparia,
165,Bellardia trixago,Bellardia trixago,
166,Bellis perennis,Bellis perennis,
167,Berteroa incana,Berteroa incana,
168,Beta,Beta,
