Species_name	References
"""Abies alba Mill."""	"""Penzig (1921-2)"""
"""Abies grandis (Douglas ex D. Don) Lindl."""	"""Klimešová, pers. obs."""
"""Acaena novae-zelandiae Kirk"""	"""Gynn and Richards (1985)"""
"""Acer campestre L."""	"""Jones (1944); Pénzes (1960); Rauh (1937)"""
"""Acer negundo L."""	"""Klimešová, pers. obs."""
"""Acer platanoides L."""	"""Klimešová, pers. obs."""
"""Acer pseudoplatanus L."""	"""Jones (1944)"""
"""Achillea atrata agg."""	"""Hess (1909); Schubert et al. (1987)"""
"""Achillea clavennae L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Achillea crithmifolia Waldst. et Kit."""	"""Rauh (1937)"""
"""Achillea erba-rotta subsp. moschata (Wulfen) I.Richardson"""	"""Klimešová, pers. obs."""
"""Achillea macrophylla L."""	"""Schubert et al. (1987)"""
"""Achillea millefolium L. subsp. millefolium """	"""Bourdot (1984); Bourdot and Butler (1985); Bourdot et al. (1985); Grime et al. (1988); Kutschera (1960); Lukasiewicz (1962); Schubert et al. (1987); Warwick and Black (1982)"""
"""Achillea nana L."""	"""Hess (1909)"""
"""Achillea nobilis L."""	"""Benneker (1915); Schubert et al. (1987); Klimešová, pers. obs."""
"""Achillea oxyloba (DC.) Sch.Bip."""	"""Klimešová, pers. obs."""
"""Achillea pannonica Scheele"""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Achillea ptarmica L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992)"""
"""Achillea salicifolia Besser"""	"""Schubert et al. (1987)"""
"""Achillea setacea Waldst. et Kit."""	"""Schubert et al. (1987)"""
"""Achillea tomentosa L."""	"""Kutschera and Lichtenegger (1992)"""
"""Acinos alpinus (L.) Moench"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Acinos arvensis (Lam.) Dandy"""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Aconitum anthora L."""	"""Serebriakova and Polynceva (1974)"""
"""Aconitum degenii Gáyer"""	"""Schubert et al. (1987)"""
"""Aconitum lycoctonum L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Aconitum plicatum Köhler ex Rchb."""	"""Schubert et al. (1987); Serebriakova and Polynceva (1974)"""
"""Aconitum septentrionale Koelle"""	"""Klimešová, pers. obs."""
"""Aconitum variegatum L."""	"""Lukasiewitz (1985); Markowski (1972); Schubert et al. (1987); Troll (1941-1942); Klimešová, pers. obs."""
"""Acorus calamus L."""	"""Höck et al. (1934); Möbius (1940); Schubert et al. (1987)"""
"""Actaea podocarpa DC."""	"""Lukasiewicz (1962)"""
"""Actaea spicata L."""	"""Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Adenophora liliifolia (L.) Ledeb. ex A. DC."""	"""Schubert et al. (1987)"""
"""Adenostyles alliariae (Gouan) A. Kern."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Adenostyles alpina (L.) Bluff & Fingerh."""	"""Schmidt (1986); Schubert et al. (1987)"""
"""Adonis aestivalis L."""	"""Schubert et al. (1987); Klimešová, pers. obs."""
"""Adonis flammea Jacq."""	"""Schubert et al. (1987)"""
"""Adonis vernalis L."""	"""Kutschera and Lichtenegger (1992); Schubert et al. (1987); Klimešová, pers. obs."""
"""Adoxa moschatellina L."""	"""Irmisch (1850); Serebriakov (1952); Schubert et al. (1987); Weberling (1966a); Klimešová, pers. obs."""
"""Aegopodium podagraria L."""	"""Benneker (1915); Gatsuk et al. (1980); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Schubert et al. (1987); Klimešová, pers. obs."""
"""Aesculus hippocastanum L."""	"""Klimešová, pers. obs."""
"""Aethionema saxatile (L.) R. Br."""	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Aethusa cynapium L. subsp. cynapium """	"""Jäger and Werner (2002); Schubert et al. (1987)"""
"""Agave americana L."""	"""Buxbaum (1934a)"""
"""Agrimonia eupatoria L."""	"""Jäger and Werner (2002); Kutschera and Lichtenegger (1992); Lukasiewicz (1962); Klimešová, pers. obs."""
"""Agrimonia procera Wallr."""	"""Jäger and Werner (2002)"""
"""Agrostemma githago L."""	"""Firbank (1988); Schubert et al. (1987)"""
"""Agrostis agrostiflora (Beck) Rauschert"""	"""Schubert et al. (1987)"""
"""Agrostis alpina Scop."""	"""Hartmann (1957); Schubert et al. (1987); Klimešová, pers. obs."""
"""Agrostis canina agg. """	"""Grime et al. (1988); Kutschera and Lichtenegger (1982); Lepš (2004); Mühlberg (1967); Schubert et al. (1987); Volkart et al. (1908); Klimešová, pers. obs."""
