Lvl1,Category,Lvl2,Trait1,Lvl3,Trait2,Units,type,comment,count,interesting, empty
1,Morphology,1.1,Woodiness,1.10.1,Woodiness_1,"woody, non-woody, variable",categorical,NA,248944,0,
1,Morphology,1.10,Shoot length,1.10.2,Shoot_length_max,cm,numeric,prostrate and erect,2227,0,
1,Morphology,1.10,Shoot length,1.10.1,Shoot_length_min,cm,numeric,prostrate and erect,123,0,
1,Morphology,1.2,Growth form,1.20.1,Growth_form_1,"herb, shrub, tree, other",categorical,Combinations possible (e.g. herb/shrub).,222338,1,
1,Morphology,1.2,Growth form,1.20.2,Growth_form_2,"herb, graminoid, forb, subshrub, shrub, tree, palm, other",categorical,Combinations possible (e.g. herb/subshrub).,178875,1,
1,Morphology,1.3,Epiphyte,1.30.1,Epiphyte_1,"obligatory, facultative, terrestrial",categorical,NA,203210,0,
1,Morphology,1.3,Epiphyte,1.30.2,Epiphyte_2,"holoepiphyte, hemiepiphyte, prim_hemiepiphyte, sec_hemiepiphyte, facultative, terrestrial",categorical,NA,76018,0,
1,Morphology,1.4,Climber,1.40.1,Climber_1,"obligatory, facultative, self-supporting",categorical,NA,221990,0,
1,Morphology,1.4,Climber,1.40.2,Climber_2,"liana, vine, self-supporting",categorical,"lianas are woody, vines are non-woody",96072,0,
1,Morphology,1.5,Parasite,1.50.1,Parasite_1,"obligatory, facultative, independent",categorical,NA,204250,0,
1,Morphology,1.6,Plant height,1.60.2,Plant_height_max,m,numeric,NA,70367,1,
1,Morphology,1.6,Plant height,1.60.1,Plant_height_min,m,numeric,NA,43353,1,
1,Morphology,1.6,Plant height,1.60.3,Plant_height_mean,m,numeric,NA,23219,1,
1,Morphology,1.7,Aquatic,1.70.1,Aquatic_1,"aquatic, semiaquatic, terrestrial",categorical,NA,153707,0,
1,Morphology,1.8,DBH,1.80.2,DBH_max,cm,numeric,NA,1892,0,
1,Morphology,1.8,DBH,1.80.1,DBH_min,cm,numeric,NA,1,0,
1,Morphology,1.9,Shoot orientation,1.90.1,Shoot_orientation,"prostrate, scandent, rambling, erect, pendant, ascending",categorical,Combinations possible (e.g. decumbent = prostrate/ascending); prostrate incl. creeping and procumbent,3732,0,
2,Life history,2.1,Lifecycle,2.10.1,Lifecycle_1,"annual, biennial, perennial, variable",categorical,Combinations possible,190225,1,
2,Life history,2.2,Lifespan,2.20.1,Lifespan_1,years,numeric,NA,60,0,
2,Life history,2.3,Life form,2.30.2,Life_form_2,"nanophanerophyte, phanerophyte, chamaephyte, hemicryptophyte, geophyte, hydrophyte, helophyte, therophyte, lithophyte",categorical,Combinations possible (e.g. hemicryptophyte/therophyte); Lithophytes include Chasmophytes here,111531,0,
2,Life history,2.3,Life form,2.30.1,Life_form_1,"phanerophyte, chamaephyte, hemicryptophyte, cryptophyte, therophyte",categorical,"Combinations possible (e.g. hemicryptophyte/therophyte). Note that cryptophytes encompass geophytes, hydrophytes and helophytes. ",100390,0,
2,Life history,2.4,Deciduousness,2.40.1,Deciduousness_1,"deciduous, evergreen, variable",categorical,,9985,0,
3,Reproduction,3.1,Self fertilization,3.10.1,Self_fertilization_1,"present, absent",categorical,NA,3650,0,
3,Reproduction,3.10,Seed length,3.10.2,Seed_length_max,mm,numeric,NA,2764,0,
3,Reproduction,3.10,Seed length,3.10.1,Seed_length_min,mm,numeric,NA,2569,0,
3,Reproduction,3.10,Seed length,3.10.3,Seed_length_mean,mm,numeric,NA,1838,0,
3,Reproduction,3.11,Seed width,3.110.2,Seed_width_max,mm,numeric,NA,981,0,
3,Reproduction,3.11,Seed width,3.110.1,Seed_width_min,mm,numeric,NA,760,0,
3,Reproduction,3.11,Seed width,3.110.3,Seed_width_mean,mm,numeric,NA,571,0,
3,Reproduction,3.12,Seed height,3.120.2,Seed_height_max,mm,numeric,NA,148,0,
3,Reproduction,3.12,Seed height,3.120.1,Seed_height_min,mm,numeric,NA,7,0,
3,Reproduction,3.13,Fruit length,3.130.3,Fruit_length_mean,cm,numeric,NA,11332,0,
3,Reproduction,3.13,Fruit length,3.130.2,Fruit_length_max,cm,numeric,NA,10499,0,
3,Reproduction,3.13,Fruit length,3.130.1,Fruit_length_min,cm,numeric,NA,10239,0,
3,Reproduction,3.14,Fruit width,3.140.3,Fruit_width_mean,cm,numeric,NA,7229,0,
3,Reproduction,3.14,Fruit width,3.140.2,Fruit_width_max,cm,numeric,NA,6198,0,
3,Reproduction,3.14,Fruit width,3.140.1,Fruit_width_min,cm,numeric,NA,6036,0,
3,Reproduction,3.15,Fruit height,3.150.1,Fruit_height_min,cm,numeric,NA,54,0,
3,Reproduction,3.15,Fruit height,3.150.2,Fruit_height_max,cm,numeric,NA,54,0,
3,Reproduction,3.15,Fruit height,3.150.3,Fruit_height_mean,cm,numeric,NA,54,0,
3,Reproduction,3.16,Fruit type,3.160.1,Fruit_type_1,"achene, baccate, berry, capsule, drupe, follicle, lomentum, nut, pod, pome, schizocarp, siliqua, utricle, anthocarp, cone, other",categorical,NA,6567,0,
3,Reproduction,3.17,Dehiscence,3.170.1,Dehiscence_1,"dehiscent, indehiscent",categorical,NA,6027,0,
3,Reproduction,3.18,Fruit dryness,3.180.1,Fruit_dryness_1,"dry, fleshy",categorical,NA,2578,0,
3,Reproduction,3.19,Seed volume,3.190.1,Seed_volume_min,mm³,numeric,NA,2737,0,
3,Reproduction,3.19,Seed volume,3.190.2,Seed_volume_max,mm³,numeric,NA,2737,0,
3,Reproduction,3.19,Seed volume,3.190.3,Seed_volume_mean,mm³,numeric,NA,2737,0,
3,Reproduction,3.2,Seed mass,3.20.3,Seed_mass_mean,g,numeric,NA,24034,1,
3,Reproduction,3.2,Seed mass,3.20.1,Seed_mass_min,g,numeric,NA,22814,1,
3,Reproduction,3.2,Seed mass,3.20.2,Seed_mass_max,g,numeric,NA,22814,1,
3,Reproduction,3.20,Monocarpy,3.20.1,Monocarpy,"monocarp, polycarp",categorical,"monocarp = hapaxanth, semelparous",88,0,
3,Reproduction,3.21,Flower colour ,3.210.1,Flower_colour,"red, pink, blue, yellow, orange, green, white, violet, black, grey, brown, other",categorical,combinations possible,1810,1,
3,Reproduction,3.22,Fruit colour,3.220.1,Fruit_colour,"red, pink, blue, yellow, orange, green, white, violet, black, grey, brown, other",categorical,combinations possible,2087,1,
3,Reproduction,3.23,Inflorescence,3.230.1,Inflorescence,"raceme, corymb, umbel, panicle, corymbose_panicle, spike, catkin, pseudoraceme, cyme, fascicle",categorial,NA,574,1,
3,Reproduction,3.24,Inflorescence length,3.240.2,Inflorescence_length_max,m,numeric,NA,2591,1,
3,Reproduction,3.24,Inflorescence length,3.240.1,Inflorescence_length_min,m,numeric,NA,2541,1,
3,Reproduction,3.25,Flower length,3.250.2,Flower_length_max,cm,numeric,NA,1918,1,
3,Reproduction,3.25,Flower length,3.250.1,Flower_length_min,cm,numeric,NA,1776,1,
3,Reproduction,3.26,Flower width,3.260.2,Flower_width_max,cm,numeric,NA,453,1,
3,Reproduction,3.26,Flower width,3.260.1,Flower_width_min,cm,numeric,NA,330,1,
3,Reproduction,3.3,Dispersal syndrome,3.30.1,Dispersal_syndrome_1,"anemochorous, zoochorous, autochorous, hydrochorous, unspecialized",categorical,NA,9602,1,
3,Reproduction,3.3,Dispersal syndrome,3.30.2,Dispersal_syndrome_2,"anemochorous, anthropochorous, autochorous, endozoochorous, epizoochorous, hydrochorous, myrmecochorous, unspecialized, zoochorous",categorical,NA,6518,1,
3,Reproduction,3.4,Reproduction sexual,3.40.1,Reproduction_sexual_1,"dioecious, monoecious, bisexual",categorical,"see list of synonyms: http://en.wikipedia.org/wiki/Plant_reproductive_morphology#Terminology; monoecious in narrow sense; bisexual = hermaphrodite (flowers)
",2977,0,
3,Reproduction,3.5,Reproduction asexual,3.50.1,Reproduction_asexual_1,"present, absent",categorical,NA,3027,0,
3,Reproduction,3.5,Reproduction asexual,3.50.2,Reproduction_asexual_2,"above-ground, below-ground",categorical,"above-ground relates to apomixis/agamospermy, below-ground relates to stolons, rhizomes, tubers, etc.",10,0,
3,Reproduction,3.6,Pollination syndrome,3.60.1,Pollination_syndrome_1,"biotic, abiotic",categorical,,5971,1,
3,Reproduction,3.6,Pollination syndrome,3.60.2,Pollination_syndrome_2,"wind, water, insect, bird, bat, other",categorical,Combinations possible,5938,1,
3,Reproduction,3.6,Pollination syndrome,3.60.3,Pollination_syndrome_3,"wind, water, bee, beetle, ant, butterfly, moth, fly, insect, bird, bat, other",categorical,"Combinations possible, add new categories if necessary [but set connections]",4035,1,
3,Reproduction,3.7,Flowering time,3.70.1,Flowering_start,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, variable",categorical,NA,19582,0,
3,Reproduction,3.7,Flowering time,3.70.2,Flowering_end,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, variable",categorical,NA,19351,0,
3,Reproduction,3.8,Fruiting time,3.80.1,Fruiting_start,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, variable",categorical,NA,514,0,
3,Reproduction,3.8,Fruiting time,3.80.2,Fruiting_end,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, variable",categorical,NA,512,0,
3,Reproduction,3.9,Seeds_per_fruit,3.90.1,Seeds_per_fruit,"0, 1-10, 11-100, 101-1000, >1000",categorical,NA,947,0,
4,Physiology,4.1,Specific Leaf Area (SLA),4.10.3,SLA_mean,cm²/g,numeric,NA,2562,1,
4,Physiology,4.10,Carnivory,4.10.1,Carnivory,"carnivorous, non-carnivorous",categorical,NA,1772,0,
4,Physiology,4.1,Specific Leaf Area (SLA),4.10.1,SLA_min,cm²/g,numeric,NA,513,0,
4,Physiology,4.1,Specific Leaf Area (SLA),4.10.2,SLA_max,cm²/g,numeric,NA,513,0,
4,Physiology,4.11,Leaf form,4.110.1,Leaf_form_1,,text,no defined categories (free text),2304,0,
4,Physiology,4.12,Leaf margin,4.120.1,Leaf_margin_1,,text,no defined categories (free text),722,0,
4,Physiology,4.13,Leaf spines,4.130.1,Leaf_spines_1,"yes, no",categorical,NA,2979,0,
4,Physiology,4.14,Leaf thorns,4.140.1,Leaf_thorns_1,"yes, no",categorical,NA,725,0,
4,Physiology,4.15,Leaf arrangement,4.150.1,Leaf_arrangement,"alternate, opposite, whorled, rosette",categorical,combinations possible,496,0,
4,Physiology,4.16,Succulence,4.160.1,Succulence_1,"yes, no",categorical,NA,1484,0,
4,Physiology,4.2,Photosynthetic pathway,4.20.1,Photosynthetic_pathway,"C3, C4, CAM",categorical,NA,31315,1,
4,Physiology,4.3,Stem specific density (SSD),4.30.3,SSD_mean,mg/cm³,numeric,NA,1072,0,
4,Physiology,4.3,Stem specific density (SSD),4.30.1,SSD_min,mg/cm³,numeric,NA,356,0,
4,Physiology,4.3,Stem specific density (SSD),4.30.2,SSD_max,mg/cm³,numeric,NA,356,0,
4,Physiology,4.4,Leaf size,4.40.3,Leaf_size_mean,cm²,numeric,NA,1707,1,
4,Physiology,4.5,Nitrogen fixer,4.50.1,Nitrogen_fix_1,"yes, no",categorical,NA,11193,0,
4,Physiology,4.6,Leaf length,4.60.2,Leaf_length_max,cm,numeric,NA,19574,1,
4,Physiology,4.6,Leaf length,4.60.1,Leaf_length_min,cm,numeric,NA,15738,1,
4,Physiology,4.6,Leaf length,4.60.3,Leaf_length_mean,cm,numeric,NA,9873,1,
4,Physiology,4.7,Leaf width,4.70.2,Leaf_width_max,cm,numeric,NA,16471,1,
4,Physiology,4.7,Leaf width,4.70.1,Leaf_width_min,cm,numeric,NA,15852,1,
4,Physiology,4.7,Leaf width,4.70.3,Leaf_width_mean,cm,numeric,NA,6709,1,
4,Physiology,4.8,Leaf thickness,4.80.3,Leaf_thickness_mean,mm,numeric,NA,134,0,
4,Physiology,4.8,Leaf thickness,4.80.2,Leaf_thickness_max,mm,numeric,NA,46,0,
4,Physiology,4.8,Leaf thickness,4.80.1,Leaf_thickness_min,mm,numeric,NA,37,0,
4,Physiology,4.9,Leaf dry matter content (LDMC),4.90.1,LDMC_min,mg/g,numeric,NA,480,0,
4,Physiology,4.9,Leaf dry matter content (LDMC),4.90.2,LDMC_max,mg/g,numeric,NA,480,0,
4,Physiology,4.9,Leaf dry matter content (LDMC),4.90.3,LDMC_mean,mg/g,numeric,NA,480,0,
5,Genetics,5.1,Chromosome number,5.10.1,Chromosome_number,NA,text,number or comma-separated list of numbers,797,0,
5,Genetics,5.2,Ploidy,5.20.1,Ploidy_level,NA,text,"number or comma-separated list of numbers, or n for polyploidy (n>2)",450,0,
6,Ecology,6.1,Elevational range,6.10.2,Elevational_range_max,m AMSL,numeric,NA,70340,0,
6,Ecology,6.1,Elevational range,6.10.1,Elevational_range_min,m AMSL,numeric,NA,68458,0,
6,Ecology,6.1,Elevational range,6.10.3,Elevational_range_mean,m AMSL,numeric,NA,18492,0,
6,Ecology,6.2,Bedrock,6.20.1,Bedrock_1,NA,text,no defined categories (free text),288,0,
6,Ecology,6.3,Habitat,6.30.1,Habitat_1,NA,text,no defined categories (free text),54180,0,
6,Ecology,6.4,Mycorrhiza,6.40.1,Mycorrhiza_1,"yes, no",categorical,NA,201,0,
6,Ecology,6.5,Defense,6.50.1,Defense,"yes, no",categorical,NA,2593,0,
