Family,Accepted Name,Specialists,Data Quality ,Status,SLA,Plant Height,Radial Growth Rate,Flowering Onset,Flowering Duration,Clonal Spread,Clonal Index,Clonal Cyclicity,Seed Mass,Seed/ Ramet,Seedbank Longevity ,Tmin,To,Tmax,Seed Dormancy,Seeding Onset,Seeding Season,DR: unassisted,DR: wind,DR: endo,DR: exo,DR: hem,DR: myrm,DR: hydro,DR: ballis,Clonal Presence,E: Light,E: Temp,E: pH,E: Nitrogen,E: Moisture
 ~ Data Quality (/689 possible records),,,,,,525= 75%,158= 23%,616= 90%,616=90%,283= 41%,281=41%,423=61%,477=69%,224=33%,318=46%,122= 17%,387= 56%,135= 19%,266=    39%,616= 89%,616= 89%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,511= 74%,454= 65%,303=44%,238= 35%,308= 45%,300=44%,442=64%
Amaranthaceae,Chenopodium bonus-henricus,Generalist,80.77,Included in Analysis,260,38.28571429,NA,6,4,NA,NA,1,1.85688,2738.25,0.5,NA,15,NA,PD,10,autumn,0.2,0,0.2,0.2,0.2,0,0.2,0,0,NA,NA,NA,8,5
Amaryllidaceae,Allium lusitanicum,C. Alpine,23.08,Included in Analysis,NA,NA,NA,7,3,NA,NA,NA,1.17,NA,NA,NA,15,NA,NA,10,autumn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaryllidaceae,Allium sphaerocephalon,C. Alpine,80.77,Included in Analysis,57,62.5,NA,6,3,1.691666667,3,1,1.5302,NA,0.5,NA,11,NA,NA,9,late summer,0.333333333,0.333333333,0,0,0,0,0,0.333333333,1,NA,NA,NA,NA,3
Amaryllidaceae,Allium vineale,Generalist,73.08,Included in Analysis,NA,50,NA,5,3,2.730909094,3,1,7.504,NA,1.0625,NA,NA,NA,NA,8,late summer,0,0.25,0,0,0.25,0,0.25,0.25,1,7,NA,NA,7,4.666666667
Amaryllidaceae,Narcissus bulbocodium,Nardus,11.54,Included in Analysis,182.3970944,17,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amaryllidaceae,Narcissus poeticus,Generalist,73.08,Included in Analysis,181.6,27.85,NA,4,2,0.005,3,1,6.3,NA,NA,NA,NA,NA,NA,6,summer,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Apiaceae,Aegopodium podagraria,Meadow,88.46,Included in Analysis,300,76.125,NA,5,5,0.0925,3,2,1.918,5190.7,0.5,NA,20,NA,MPD,10,autumn,0.25,0.25,0,0,0.25,0,0,0.25,1,NA,NA,NA,NA,4.833333333
Apiaceae,Angelica sylvestris,Generalist,76.92,Included in Analysis,261.55,104.125,NA,7,3,NA,NA,2,1.786952381,10562.22381,0.796875,NA,29,NA,NA,10,autumn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,NA,3,NA,5,7
Apiaceae,Anthriscus sylvestris,Meadow,96.15,Included in Analysis,358.4295424,74.8,NA,4,5,0.005,3,2,4.205538462,6374.29,2.5,4,16,20,MPD,9,late summer,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0,1,NA,NA,NA,NA,4.5
Apiaceae,Astrantia major,Generalist,76.92,Included in Analysis,282.2,25,NA,6,3,0.046666667,3,2,3.19,NA,NA,NA,6,NA,NA,9,late summer,0,0.2,0.2,0.2,0,0.2,0,0.2,1,3,4,8,5,6
Apiaceae,Bunium bulbocastanum,Generalist,69.23,Included in Analysis,177.1,61.66666667,NA,6,2,NA,NA,NA,1.406,543.8,NA,NA,5,NA,NA,8,late summer,0,0,0,0.25,0.25,0,0.25,0.25,0,NA,NA,9,NA,4
Apiaceae,Bupleurum baldense,C. Alpine,61.54,Included in Analysis,NA,5.666666667,0.5,5,4,NA,NA,NA,0.387,NA,NA,NA,25,NA,NA,9,late summer,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,3
Apiaceae,Bupleurum falcatum,Dry,73.08,Included in Analysis,17.4,60,NA,7,3,NA,NA,2,2.745942857,NA,0.5,NA,6,NA,NA,10,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,NA,NA,NA,NA,3
Apiaceae,Bupleurum ranunculoides,Generalist,73.08,Included in Analysis,NA,30,NA,7,2,0.005,3,2,1.55,NA,NA,NA,NA,NA,MPD,9,late summer,0,0,0,0.5,0,0,0,0.5,1,NA,NA,NA,NA,5
Apiaceae,Carum carvi,Meadow,88.46,Included in Analysis,255.825,42.5,0.25,5,4,NA,NA,2,2.159333333,5153.025,0.5,NA,23,23,MPD,9,late summer,0,0,0.25,0.25,0.25,0,0.25,0,0,8,4,7,6,4.5
Apiaceae,Carum heldreichii,C. Alpine,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Carum verticillatum,Nardus,30.77,Included in Analysis,NA,52.5,NA,NA,NA,0.005,3,2,0.948,862,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8
Apiaceae,Chaerophyllum aureum,Meadow,84.62,Included in Analysis,228.6024928,86.34666667,NA,6,3,0.005,3,1,10.766,190,2.5,NA,NA,NA,MPD,9,late summer,0,0,0,0,0.5,0,0,0.5,1,3,5,9,9,5
Apiaceae,Chaerophyllum hirsutum,Generalist,96.15,Included in Analysis,279.65,65,0.5,5,4,0.08,5,2,3.035,1432,NA,20,35,35,PD,9,late summer,0,0,0,0,0,0,0.5,0.5,1,NA,NA,NA,NA,7
Apiaceae,Conopodium majus,Generalist,80.77,Included in Analysis,225,40,NA,5,3,NA,NA,NA,2.181333333,323.25,1.833333333,5,5,NA,MPD,8,late summer,0.333333333,0,0.333333333,0,0,0.333333333,0,0,0,6,5,4,NA,5
Apiaceae,Conopodium pyrenaeum,A. Alpine,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Daucus carota,Generalist,88.46,Included in Analysis,178.9148993,43.82857143,NA,6,4,NA,NA,2,1.096433333,50625,1.175105485,10.5,23,29,MD,10,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,8,6,7,4,3.916666667
Apiaceae,Dethawia splendens,C. Alpine,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Eryngium amethystinum,C. Alpine,19.23,Included in Analysis,NA,40,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Eryngium bourgatii,Generalist,3.85,Included in Analysis,NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Eryngium campestre,Dry,73.08,Included in Analysis,81.47383797,32.5,NA,7,3,NA,NA,2,1.259,NA,0.5,NA,16,NA,NA,10,autumn,0,0.166666667,0.166666667,0.166666667,0.166666667,0,0.166666667,0.166666667,0,9,7,8,3,2.333333333
Apiaceae,Falcaria vulgaris,Dry,88.46,Included in Analysis,167.9,42.5,2.8,7,4,NA,NA,1,0.7,2000,0.5,NA,25,25,MPD,11,autumn,0,0.25,0.25,0.25,0.25,0,0,0,0,4,7,9,NA,3
Apiaceae,Heracleum austriacum,C. Alpine,26.92,Included in Analysis,NA,38.75,NA,7,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,9,late summer,NA,NA,NA,NA,NA,NA,NA,NA,0,5,3,8,4,6
Apiaceae,Heracleum sphondylium,Meadow,84.62,Included in Analysis,16.2,183.3333333,NA,5,4,NA,NA,2,6.520725,6062.5,5,5,5,NA,MPD,9,late summer,0,0.2,0.2,0.2,0.2,0,0.2,0,0,7,5,7,8,4.75
Apiaceae,Laserpitium latifolium,C. Alpine,69.23,Included in Analysis,137.5,86.25,0.7,7,2,NA,NA,2,6.577333333,NA,NA,NA,NA,NA,NA,9,late summer,0,0.333333333,0,0.333333333,0,0,0.333333333,0,0,4,4,9,3,NA
Apiaceae,Laserpitium nestleri,C. Alpine,15.38,Included in Analysis,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,late summer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Laserpitium siler,C. Alpine,65.38,Included in Analysis,12.56,60,NA,6,4,NA,NA,2,6.945,NA,NA,NA,NA,NA,NA,10,autumn,0,0.5,0,0,0,0,0,0.5,0,4,NA,9,2,4
Apiaceae,Ligusticum mutellina,Generalist,65.38,Included in Analysis,NA,40,NA,6,3,NA,NA,2,NA,NA,0.5,NA,5,NA,NA,9,late summer,0,0,0.5,0.5,0,0,0,0,0,4,2,5,4,6
Apiaceae,Ligusticum mutellinoides,Generalist,61.54,Included in Analysis,NA,5,NA,7,2,NA,NA,2,NA,NA,2.5,NA,NA,NA,NA,9,late summer,0,0.5,0,0,0,0,0.5,0,0,NA,NA,NA,1,5
Apiaceae,Meum athamanticum,Generalist,76.92,Included in Analysis,131.8,29.5,0.3,5,4,NA,NA,2,7.2572,NA,0.5,NA,6,NA,NA,9,late summer,0,0,0,1,0,0,0,0,0,8,4,4,3,5
Apiaceae,Pastinaca sativa,Generalist,73.08,Included in Analysis,NA,30,NA,7,2,NA,NA,2,4.096,NA,4.96875,NA,23,NA,MPD,9,late summer,0,0.25,0,0.25,0.25,0,0.25,0,0,NA,NA,NA,5,3.75
Apiaceae,Peucedanum cervaria,Generalist,76.92,Included in Analysis,93.4,37.5,NA,7,3,NA,NA,2,4.34,557.5,0.5,NA,25,NA,NA,10,autumn,0,0.5,0,0.5,0,0,0,0,0,NA,NA,NA,NA,3
Apiaceae,Peucedanum oreoselinum,Dry,73.08,Included in Analysis,162.25,100,NA,7,3,NA,NA,2,3.5,655,0.5,NA,NA,NA,NA,10,autumn,0,0.5,0,0.5,0,0,0,0,0,3,6,6,2,3
Apiaceae,Pimpinella major,Meadow,84.62,Included in Analysis,17.53,85.6,0.15,6,4,NA,NA,2,2.157339259,NA,2.5,5,15,NA,PD,10,autumn,0,0.2,0.2,0.2,0.2,0,0.2,0,0,7,0,7,6,3.916666667
Apiaceae,Pimpinella saxifraga,Dry,76.92,Included in Analysis,176.75,65,NA,7,4,NA,NA,2,1.032488889,1904.05,2.5,NA,23,NA,NA,11,autumn,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0,0.142857143,0.142857143,0,7,0,7,3,2.7
Apiaceae,Pimpinella siifolia,C. Alpine,7.69,Included in Analysis,220.0537926,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Selinum pyrenaeum,Generalist,0,Removed for Analysis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Apiaceae,Seseli annuum,Dry,65.38,Included in Analysis,NA,55,1,7,4,NA,NA,2,0.4,NA,NA,NA,NA,NA,NA,11,autumn,0,0,0,0.333333333,0.333333333,0,0,0.333333333,0,4,7,9,2,3
