"synonym_taxa","accepted_taxa"
"Abutilon asiaticum","Abutilon indicum"
"Acacia dealbata","Acacia lunata"
"Acacia farnesiana willd","Vachellia farnesiana"
"Acacia nilotica willd ex del","Vachellia nilotica"
"Acacia sieberiana","Vachellia sieberiana"
"Acacia seyal","Vachellia seyal"
"Acalypha micrantha","Mareya micrantha"
"Acalypha senegalensis","Acalypha petiolaris"
"Acalypha racemosa","Acalypha paniculata"
"Acanthocereus pentagonus","Acanthocereus tetragonus"
"Adenia cissampeloides harms","Adenia cissampeloides"
"Aerva lanata","Ouret lanata"
"Aframomum latifolium k schum","Aframomum alboviolaceum"
"Alectra aspera","Melasma melampyroides"
"Samanea dinklagei","Albizia dinklagei"
"Paraserianthes falcataria icnielsen","Falcataria falcata"
"Alternanthera maritima","Alternanthera littoralis"
"Alternanthera sessilis rbr ex dc","Alternanthera sessilis"
"Amaranthus lividus polygonoides","Amaranthus blitum emarginatus"
"Amorphophallus accrensis","Amorphophallus johnsonii"
"Aneilema sinicum","Murdannia simplex"
"Anagallis arvensis","Lysimachia arvensis arvensis"
"Anagallis foemina","Lysimachia foemina"
"Anogeissus leiocarpus","Terminalia leiocarpa"
"Aspilia multiflora oliv & hiern","Aspilia helianthoides prieureana"
"Aristida congesta barbicollis","Aristida barbicollis"
"Aristolochia elegans","Aristolochia littoralis"
"Asclepias curassavica","Asclepias mellodora"
"Aster squamatus hieron","Symphyotrichum squamatum"
"Asystasia calycina benth","Asystasia vogeliana"
"Ampelocissus pentaphylla","Ampelocissus multistriata"
"Azolla africana","Azolla pinnata"
"Baphia bancoensis aubrév","Baphia pubescens"
"Vernonia guineensis","Baccharoides guineensis"
"Biophytum petersianum klotzsch","Biophytum umbraculum"
"Spilanthes acmella murr","Blainvillea acmella"
"Blechum pyramidatum","Ruellia blechum"
"Spermacoce laevis lam","Spermacoce tenuior"
"Spermacoce latifolia aubl","Spermacoce alata"
"Borreria stachydea","Spermacoce stachydea"
"Bothriospermum tenellum fisch & camey","Bothriospermum zeylanicum"
"Brachiaria brizantha","Urochloa brizantha"
"Brachiaria comata","Urochloa comata"
"Brachiaria deflexa cehubb ex robyns","Urochloa deflexa"
"Brachiaria distachyoides","Urochloa distachyoides"
"Brachiaria villosa","Urochloa villosa"
"Brachiaria eruciformis","Moorochloa eruciformis"
"Brachiaria humidicola","Urochloa dictyoneura"
"Brachiaria lata","Urochloa lata"
"Brachiaria ruziziensis","Urochloa eminii"
"Brachiaria brachylopha","Urochloa serrata"
"Brachiaria subquadripara hitchc","Urochloa distachyos"
"Brassica chinensis","Brassica rapa"
"Fimbristylis hispidula","Bulbostylis hispidula"
"Breynia angustifolia hookf","Breynia retusa"
"Caesalpinia bonduc roxb","Guilandina bonduc"
"Cassia hirsuta","Senna hirsuta"
"Cassia nigricans","Chamaecrista nigricans"
"Cassia obtusifolia","Senna obtusifolia"
"Cassia occidentalis","Senna occidentalis"
"Cassia rotundifolia","Chamaecrista rotundifolia"
"Cassia siamea","Senna siamea"
"Cassia tora","Senna tora"
"Cissus gracilis","Afrocayratia gracilis"
"Ceratotheca sesamoides endl","Sesamum sesamoides"
"Chenopodium ambrosioides","Dysphania ambrosioides"
"Chloris prieuri","Enteropogon prieurii"
"Cyclosorus striatus ching","Cyclosorus striatus"
"Cleome aculeata","Tarenaya aculeata"
"Cleome coeruleorosea gilg & gilg-ben","Sieruela coeruleorosea"
"Cleome hirta oliv","Sieruela hirta"
"Cleome monophylla","Sieruela monophylla"
"Cleome ciliata schumach","Sieruela rutidosperma"
"Cleome viscosa","Arivela viscosa"
"Clerodendrum buchholzii gürke","Clerodendrum silvanum silvanum"
"Clerodendrum violaceum","Rotheca violacea"
"Conyza aegyptiaca aiton","Nidorella aegyptiaca"
"Combretum hispidum","Combretum comosum hispidum"
"Combretum velutinum","Combretum molle"
"Commelina thomasii hutch","Commelina acutispatha"
"Commelina lagosensis cbcl","Commelina bracteosa lagosensis"
"Commelina nigritana benth gambiae brenan","Commelina gambiae"
"Merremia aegyptia","Distimake aegyptius"
"Coronopus dydimus","Lepidium didymum"
"Cephalanthus occidentalis","Cephalanthus tetrandrus"
"Cordia curassavica roem & schult","Varronia curassavica"
"Culcasia saxatilis a chev","Culcasia scandens"
"Croton lobatus","Astraea lobata"
"Crotalaria mucronata desv","Crotalaria pallida"
"Cissus adenocaulis steud ex arich","Cyphostemma adenocaule"
"Clidemia hirta","Miconia crenata"
"Thelypteris dentata epstjohn","Christella dentata"
"Plectranthus amboinicus spreng","Coleus amboinicus"
"Pycreus acuticarinatus cherm","Cyperus acuticarinatus"
"Kyllinga polyphylla willd ex kunth","Cyperus aromaticus"
