"original_taxa","accepted_gbif","gbif_key","gbif_rank","gbif_full_name","gbif_phylum","gbif_order","gbif_family","gbif_status","accepted_rank","accepted_taxa"
"Abelmoschus esculentus","Abelmoschus esculentus",3152707,"SPECIES","Abelmoschus esculentus (L.) Moench","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abelmoschus esculentus"
"Abelmoschus ficulneus","Abelmoschus ficulneus",3940858,"SPECIES","Abelmoschus ficulneus (L.) Wight & Arn. ex Wight","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abelmoschus ficulneus"
"Abrus canescens","Abrus canescens",5348704,"SPECIES","Abrus canescens Welw. ex Baker","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Abrus canescens"
"Abrus precatorius","Abrus precatorius",5348711,"SPECIES","Abrus precatorius L.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Abrus precatorius"
"Abutilon","Abutilon",3152599,"GENUS","Abutilon Tourn. ex Mill.","Tracheophyta","Malvales","Malvaceae","HIGHERRANK_ACCEPTED","GENUS","Abutilon"
"Abutilon angulatum","Abutilon angulatum",7279613,"SPECIES","Abutilon angulatum (Guill. & Perr.) Mast.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon angulatum"
"Abutilon indicum","Abutilon indicum",3152634,"SPECIES","Abutilon indicum (L.) Sweet","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon indicum"
"Abutilon mauritianum","Abutilon mauritianum",3937512,"SPECIES","Abutilon mauritianum (Jacq.) Medik.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon mauritianum"
"Abutilon pseudocleistogamum","Abutilon pseudocleistogamum",7279055,"SPECIES","Abutilon pseudocleistogamum Hochr.","Tracheophyta","Malvales","Malvaceae","EXACT_ACCEPTED","SPECIES","Abutilon pseudocleistogamum"
"Acacia lunata","Acacia lunata",2979525,"SPECIES","Acacia lunata G.Lodd.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia lunata"
"Acacia mangium","Acacia mangium",2979091,"SPECIES","Acacia mangium Willd.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia mangium"
"Acacia mearnsii","Acacia mearnsii",2979775,"SPECIES","Acacia mearnsii De Wild.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia mearnsii"
"Acacia spirorbis","Acacia spirorbis",2979347,"SPECIES","Acacia spirorbis Labill.","Tracheophyta","Fabales","Fabaceae","EXACT_ACCEPTED","SPECIES","Acacia spirorbis"
"Acalypha","Acalypha",3055964,"GENUS","Acalypha L.","Tracheophyta","Malpighiales","Euphorbiaceae","HIGHERRANK_ACCEPTED","GENUS","Acalypha"
"Acalypha alopecuroides","Acalypha alopecuroides",3056763,"SPECIES","Acalypha alopecuroides Jacq.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha alopecuroides"
"Acalypha arvensis","Acalypha arvensis",3056742,"SPECIES","Acalypha arvensis Poepp.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha arvensis"
"Acalypha ciliata","Acalypha ciliata",3056276,"SPECIES","Acalypha ciliata Forssk.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha ciliata"
"Acalypha crenata","Acalypha crenata",3056479,"SPECIES","Acalypha crenata Hochst. ex A.Rich.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha crenata"
"Acalypha indica","Acalypha indica",3056259,"SPECIES","Acalypha indica L.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha indica"
"Acalypha paniculata","Acalypha paniculata",3057307,"SPECIES","Acalypha paniculata Miq.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha paniculata"
"Acalypha petiolaris","Acalypha petiolaris",8659209,"SPECIES","Acalypha petiolaris Hochst.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha petiolaris"
"Acalypha segetalis","Acalypha segetalis",3056915,"SPECIES","Acalypha segetalis Müll.Arg.","Tracheophyta","Malpighiales","Euphorbiaceae","EXACT_ACCEPTED","SPECIES","Acalypha segetalis"
"Acanthocereus tetragonus","Acanthocereus tetragonus",3084455,"SPECIES","Acanthocereus tetragonus (L.) Hummelinck","Tracheophyta","Caryophyllales","Cactaceae","EXACT_ACCEPTED","SPECIES","Acanthocereus tetragonus"
"Acanthospermum australe","Acanthospermum australe",3100364,"SPECIES","Acanthospermum australe (Loefl.) Kuntze","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Acanthospermum australe"
"Acanthospermum hispidum","Acanthospermum hispidum",3100375,"SPECIES","Acanthospermum hispidum DC.","Tracheophyta","Asterales","Asteraceae","EXACT_ACCEPTED","SPECIES","Acanthospermum hispidum"
"Achyranthes aspera","Achyranthes aspera",3085168,"SPECIES","Achyranthes aspera L.","Tracheophyta","Caryophyllales","Amaranthaceae","EXACT_ACCEPTED","SPECIES","Achyranthes aspera"
