"accepted_taxa","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023"
"Abelmoschus esculentus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abelmoschus ficulneus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus precatorius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon angulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon indicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon mauritianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon pseudocleistogamum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia lunata","Acacia dealbata",8.5,5,4,5.5,0,8.7,"Acacia dealbata","3","Myrmecochory",15.7775,12.54
"Acacia mangium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia mearnsii",NA,NA,NA,NA,NA,NA,NA,"Acacia mearnsii","3","Myrmecochory",8.555,13.51
"Acacia spirorbis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ciliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha petiolaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocereus tetragonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum australe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achyranthes aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella caulirhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
