"accepted_taxa","original_taxa_Baseflor","Habitat_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Growth.form_Baseflor","Fruit.type_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","Sexuality_Baseflor"
"Abelmoschus esculentus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abelmoschus ficulneus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus precatorius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon angulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon indicum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon mauritianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon pseudocleistogamum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia lunata","Acacia dealbata","","Introduit (australie)","Jaune","Barochore","","Magnophanérophytaie","Gousse","Racème simple","Entomogame","Hermaphrodite"
"Acacia mangium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia mearnsii","Acacia mearnsii","","Introduit (australie)","Jaune","Barochore","","Magnophanérophytaie","Gousse","Racème simple","Entomogame","Hermaphrodite"
"Acacia spirorbis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ciliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha petiolaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocereus tetragonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum australe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achyranthes aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella caulirhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella uliginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acridocarpus smeathmannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
