"accepted_taxa","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass_g_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Growth.form_BIEN","Plant.height_m_BIEN"
"Abelmoschus esculentus","Abelmoschus esculentus","",NA,NA,NA,NA,NA,NA,"",55.1666666666667,"Herb_shrub",NA
"Abelmoschus ficulneus","Abelmoschus ficulneus","",NA,NA,NA,NA,NA,NA,"",NA,"Herb_herb*_shrub",NA
"Abrus canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus precatorius","Abrus precatorius","",NA,NA,NA,NA,NA,NA,"",74.8304405,"Vine_woody vine",NA
"Abutilon","Abutilon angulatum_Abutilon indicum_Abutilon pseudocleistogamum","",NA,NA,NA,NA,NA,32.41,"",NA,"Herb*_shrub_Shrub_Shrub_woody herb",NA
"Abutilon angulatum","Abutilon angulatum","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub_woody herb",NA
"Abutilon indicum","Abutilon indicum","",NA,NA,NA,NA,NA,32.41,"",NA,"Herb*_shrub",NA
"Abutilon mauritianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon pseudocleistogamum","Abutilon pseudocleistogamum","",NA,NA,NA,NA,NA,NA,"",NA,"Shrub",NA
"Acacia lunata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia mangium","Acacia mangium","",NA,NA,12.122,NA,NA,25.6,"",9.86050075,"Tree",NA
"Acacia mearnsii","Acacia mearnsii","",NA,NA,NA,NA,NA,NA,"8",13.169976,"Shrub*_tree",NA
"Acacia spirorbis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha","Acalypha alopecuroides_Acalypha arvensis_Acalypha ciliata_Acalypha indica_Acalypha paniculata_Acalypha segetalis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Acalypha alopecuroides","Acalypha alopecuroides","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Acalypha arvensis","Acalypha arvensis","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Acalypha ciliata","Acalypha ciliata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Acalypha crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha indica","Acalypha indica","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Acalypha paniculata","Acalypha paniculata","",NA,NA,NA,NA,NA,NA,"",NA,"Herb",NA
"Acalypha petiolaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
