"accepted_taxa","original_taxa_Dcube","Diaspore.exposure_Dcube","Diaspore.height_mm_Dcube","Diaspore.mass_mg_Dcube","Diaspore.type_Dcube","Fruit.type_Dcube","Anemochory_rank_Dcube","Epizoochory_rank_Dcube","Hydrochory_rank_Dcube"
"Abelmoschus esculentus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abelmoschus ficulneus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus precatorius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon angulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon indicum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon mauritianum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon pseudocleistogamum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia lunata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia mangium",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia mearnsii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia spirorbis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ciliata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha indica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha petiolaris",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocereus tetragonus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum australe",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achyranthes aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella caulirhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella uliginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acridocarpus smeathmannii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras amplectens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras gabunense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras hubbardii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia cissampeloides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenopodia scelerata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenosma indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerva javanica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene afraspera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene americana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene indica",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene patula",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene sensitiva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aframomum alboviolaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afrocayratia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afromorus mesozygia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aganope leucobotrya",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agelaea pentagyna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratina riparia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum conyzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum houstonianum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agrostis capillaris","Agrostis capillaris l.","Covered partly",NA,NA,"Fruit","Non-fleshy fruit",0.81,NA,0.6
"Agrostis salaziensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alafia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia adianthifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia dinklagei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia lebbeck",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia zygia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchornea cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alectra linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium chinense",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allophylus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allophylus spicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alloteropsis paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alstonia boonei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera pungens",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera sessilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus monilifer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus ovalifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus rugosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus vaginalis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus blitum l. s.l._Amaranthus graecizans l._Amaranthus hybridus agg.","Enclosed",1,0.578893666666667,"Seed","Fruit with upright aperture",0.243333333333333,0.246666666666667,NA
"Amaranthus blitum","Amaranthus blitum l. s.l.","Enclosed",NA,0.4486,"Seed","Fruit with upright aperture",0.28,0.25,NA
"Amaranthus blitum emarginatus","Amaranthus blitum l. s.l.","Enclosed",NA,0.4486,"Seed","Fruit with upright aperture",0.28,0.25,NA
"Amaranthus dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus graecizans","Amaranthus graecizans l.","Enclosed",NA,0.801,"Seed","Fruit with upright aperture",0.23,0.22,NA
"Amaranthus hybridus","Amaranthus hybridus agg.","Enclosed",1,0.487081,"Seed","Fruit with upright aperture",0.22,0.27,NA
"Amaranthus spinosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia baccifera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus johnsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus paeoniifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus multistriata",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anadelphia afzeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ananas comosus",NA,NA,NA,NA,NA,NA,NA,NA,NA
