"accepted_taxa","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Fruit.colour_GIFT","Growth.form_1_GIFT","Growth.form_2_GIFT","Inflorescence_GIFT","Leaf.length_cm_GIFT","Leaf.area_cm2_GIFT","Leaf.width_cm_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Plant.height_min_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT"
"Abelmoschus esculentus","Abelmoschus esculentus","","","",NA,NA,NA,NA,"","Herb","","",NA,NA,NA,"Annual","C3",2,1.83333333333333,0.3,"Biotic","Insect","Bee",0.0522291665,NA
"Abelmoschus ficulneus","Abelmoschus ficulneus","","","",NA,NA,NA,NA,"","Herb","Herb","",NA,NA,NA,"","",2.5,2,0.2,"","","",0.02277,NA
"Abrus canescens","Abrus canescens","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",NA,NA,NA,"","","",0.028143333,NA
"Abrus precatorius","Abrus precatorius","Hydrochorous","","",NA,NA,NA,NA,"","","","",NA,NA,NA,"Perennial","C3",9,3.16666666666667,0.5,"","","",0.081084943,NA
"Abutilon","Abutilon angulatum_Abutilon indicum_Abutilon mauritianum_Abutilon pseudocleistogamum","","","",NA,NA,NA,NA,"","Shrub","Shrub_Subshrub","",6,NA,NA,"Perennial","C3",10.1592148256667,4.28333333333333,0.738137039666667,"Biotic","Insect","Bee",0.00371777783333333,NA
"Abutilon angulatum","Abutilon angulatum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",3.657644477,1.5,1,"Biotic","Insect","Bee",0.0051333335,NA
"Abutilon indicum","Abutilon indicum","","","",NA,NA,NA,NA,"","Shrub","Subshrub","",6,NA,NA,"Perennial","C3",25,9.75,0.3,"","","",NA,NA
"Abutilon mauritianum","Abutilon mauritianum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"Perennial","C3",1.82,1.6,0.914411119,"Biotic","Insect","Bee",0.00339,NA
"Abutilon pseudocleistogamum","Abutilon pseudocleistogamum","","","",NA,NA,NA,NA,"","Shrub","Shrub","",NA,NA,NA,"","",NA,NA,NA,"","","",0.00263,NA
"Acacia lunata","Acacia lunata","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"","C3",3,NA,1,"","","",NA,NA
"Acacia mangium","Acacia mangium","","","",NA,NA,NA,NA,"","Tree","Tree","",NA,NA,NA,"Perennial","C3",27,25,NA,"Biotic","Insect","Insect",0.0146,NA
