"accepted_taxa","original_taxa_Groot","Root.lateral.spread_cm.yr-1_Groot","Root.diameter_mm_Groot","Root.C.concentration_Groot","Root.C.N.ratio_Groot","Root.dry.matter_Groot","Root.length.density_cm.cm-3_Groot","Root.mass.fraction_Groot","Root.mycorrhizal.colonization_Groot","Root.N.concentration_Groot","Root.tissue.density_g.cm-3_Groot","Root.depth_m_Groot","Specific.root.length_m.g-1_Groot"
"Abelmoschus esculentus","Abelmoschus esculentus",NA,NA,NA,NA,NA,NA,0.453333333333333,NA,NA,NA,NA,NA
"Abelmoschus ficulneus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus canescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abrus precatorius","Abrus precatorius",NA,NA,NA,NA,NA,NA,0.1,90.32,NA,NA,NA,NA
"Abutilon","Abutilon indicum",NA,NA,NA,NA,NA,NA,NA,44.44,NA,NA,NA,NA
"Abutilon angulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon indicum","Abutilon indicum",NA,NA,NA,NA,NA,NA,NA,44.44,NA,NA,NA,NA
"Abutilon mauritianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon pseudocleistogamum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia lunata","Acacia dealbata",NA,NA,355.39,NA,NA,NA,0.31386285975,52.59,31.42,NA,NA,NA
"Acacia mangium","Acacia mangium",NA,0.344145493444444,450.94,18.1391794,NA,NA,0.245,53,23.205,0.29,5,65.7189931522222
"Acacia mearnsii","Acacia mearnsii",NA,NA,345.14,NA,NA,NA,0.3207612825,66.24,32.08,NA,NA,NA
"Acacia spirorbis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha","Acalypha indica",NA,NA,NA,NA,NA,NA,NA,40.53,NA,NA,NA,NA
"Acalypha alopecuroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha arvensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ciliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha indica","Acalypha indica",NA,NA,NA,NA,NA,NA,NA,40.53,NA,NA,NA,NA
"Acalypha paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha petiolaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha segetalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthocereus tetragonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum australe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acanthospermum hispidum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Achyranthes aspera","Achyranthes aspera",NA,NA,NA,NA,NA,NA,NA,11.76,NA,NA,NA,NA
"Acmella caulirhiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acmella uliginosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acridocarpus smeathmannii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras amplectens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras gabunense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras hubbardii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acroceras zizanioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia cissampeloides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenia lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenopodia scelerata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adenosma indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adiantum vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aerva javanica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene afraspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene patula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aeschynomene sensitiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aframomum alboviolaceum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afrocayratia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afromorus mesozygia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aganope leucobotrya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agelaea pentagyna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratina riparia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum conyzoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ageratum houstonianum","Ageratum houstonianum",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"Agrostis capillaris","Agrostis capillaris",7.7,0.175276095285714,444.769494075,66.1138589565,0.192688821644295,6.15,0.42507703705,35.18472266875,8.63758853057143,0.230872485894737,NA,141.263937822763
"Agrostis salaziensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alafia barteri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albertisia scandens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia adianthifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia dinklagei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia lebbeck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albizia zygia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alchornea cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alectra linearis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium chinense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allium neapolitanum","Allium neapolitanum",0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allophylus africanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allophylus spicatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alloteropsis paniculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alstonia boonei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera","Alternanthera sessilis",NA,0.292,412.8,42.91060291,0.2428,NA,NA,NA,9.62,NA,NA,46.03
"Alternanthera littoralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera pungens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alternanthera sessilis","Alternanthera sessilis",NA,0.292,412.8,42.91060291,0.2428,NA,NA,NA,9.62,NA,NA,46.03
"Alysicarpus monilifer","Alysicarpus monilifer",NA,NA,NA,NA,NA,NA,NA,90.36,NA,NA,NA,NA
"Alysicarpus ovalifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus rugosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alysicarpus vaginalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus","Amaranthus blitum",NA,NA,NA,NA,NA,NA,0.205,NA,NA,NA,NA,NA
"Amaranthus blitum","Amaranthus blitum",NA,NA,NA,NA,NA,NA,0.205,NA,NA,NA,NA,NA
"Amaranthus blitum emarginatus","Amaranthus blitum",NA,NA,NA,NA,NA,NA,0.205,NA,NA,NA,NA,NA
"Amaranthus dubius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus graecizans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus hybridus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus spinosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amaranthus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia auriculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia baccifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia gracilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammannia prieureana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus johnsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amorphophallus paeoniifolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus leonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ampelocissus multistriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anadelphia afzeliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ananas comosus","Ananas comosus",NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA
"Anchomanes difformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ancylobothrys petersiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon gayanus","Andropogon gayanus",NA,0.3,520,NA,NA,NA,NA,NA,2.3,0.78,NA,NA
"Andropogon gayanus bisquamulatus","Andropogon gayanus",NA,0.3,520,NA,NA,NA,NA,NA,2.3,0.78,NA,NA
"Andropogon leucostachyus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andropogon tectorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema beniniense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema lanceolatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema paludosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aneilema umbrosum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angylocalyx oligophyllus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aniseia martinicensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Annona senegalensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anopyxis klaineana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anredera cordifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthephora cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista djalonensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista nobilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista procera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthocleista vogelii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anthoxanthum odoratum","Anthoxanthum odoratum",2.6,0.166926462962963,363.824377862896,57.2740767216364,0.205565287964198,9.24787974587037,0.534301053874603,43.5142332268333,9.60298194216332,0.107066623150717,0.155,344.302585259604
"Antiaris toxicaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigonon leptopus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antrocaryon micraster",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aponogeton vallisnerioides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arachis","Arachis hypogaea_Arachis pintoi",NA,NA,NA,25,NA,NA,0.165,81,18.35,NA,NA,NA
"Arachis hypogaea","Arachis hypogaea",NA,NA,NA,NA,NA,NA,0.165,81,NA,NA,NA,NA
"Arachis pintoi","Arachis pintoi",NA,NA,NA,25,NA,NA,NA,NA,18.35,NA,NA,NA
"Aralia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argemone mexicana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argomuellera macrophylla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arillastrum gummiferum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida adscensionis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida barbicollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aristida hordeacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
